[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,46644185.19,04/06/2017,6:59 am
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.7 Build 2,APPNAME
INFO,291,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,36.62,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,46645088.17,20.0097008,1525.91729736328,4.97756704916288E-5,2.60336856570531E-7,1,0.999253354069792,40.0298881530762,1.99445340213736,16.1200007982552,0.000539630167496848,6.95341807236724E-5,0.25,-2.30455250166077E-6,4.94863904300529E-5,-2.17574751975871E-6,20.0097008,20.0097008,1520.95092773438,1530.88366699219,52.5950014305248,18.7285560139744,4.5496073,0,0,0,4449,20.0001,1525.91729736328,,,,,,,,,,,,,,,,,13.003003,,,,,,20.0097008,,,,
,46645089.77,20.0088701,1605.70617675781,4.94937535340681E-5,2.43454878156102E-7,1,0.999253354069792,40.0298881530762,1.99463942776822,16.1200007982552,0.000536659144763578,6.89336214490388E-5,0.25,-2.31142630191326E-6,4.920621387967E-5,-2.18310577837401E-6,20.0086021,20.0091381,1600.71520996094,1610.69714355469,52.2315441690825,18.7297490192366,4.6414213,0,0,0,4449,19.9979,1605.70617675781,,,,,,,,,,,,,,,,,13.753754,,,,,,20.0088701,,,,
,46645090.48,20.00835225,1640.60949707031,4.94472576986626E-5,2.25823880239814E-7,1,0.999253354069792,40.0298881530762,1.99452874521542,16.1200007982552,0.000536028267065479,6.94268655070642E-5,0.25,-2.25709362326934E-6,4.91598925295903E-5,-2.1291449969594E-6,20.0081024,20.0086021,1610.69714355469,1670.52185058594,52.1854280864478,18.7280500264676,4.6183531,0,0,0,4449,19.99775,1640.60949707031,,,,,,,,,,,,,,,,,13.753754,,,,,,20.00835225,,,,
,46645091.565,20.0078573,1695.38726806641,4.95522768122183E-5,3.23764984729931E-7,1,0.999253354069792,40.0298881530762,1.99465323378267,16.1200007982552,0.000537201983677476,6.95602214943902E-5,0.25,-2.26367870674226E-6,4.92643459425398E-5,-2.13535553349201E-6,20.0076122,20.0081024,1670.52185058594,1720.25268554687,52.3026723643325,18.7287431704382,4.5724461,0,0,0,4449,19.99845,1695.38726806641,,,,,,,,,,,,,,,,,13.003003,,,,,,20.0078573,,,,
,46645092.68,20.00758835,1750.18969726562,4.94597327234561E-5,2.77059633550137E-7,1,0.999253354069792,40.0298881530762,1.99457811318888,16.1200007982552,0.000535917604077887,7.09176803789089E-5,0.25,-2.1210183931274E-6,4.91720599617885E-5,-1.99365877433163E-6,20.0075645,20.0076122,1720.25268554687,1780.12670898438,52.2510848820632,18.7314327830809,4.618814,0,0,0,4449,20.0006,1750.18969726562,,,,,,,,,,,,,,,,,13.753754,,,,,,20.00758835,,,,
,46645094.78,20.0072918,1857.43865966797,4.92900913637411E-5,2.02379291638488E-7,1,0.999253354069792,40.0298881530762,1.9945824382526,16.1200007982552,0.000534483140594103,6.83951035661985E-5,0.25,-2.32590460276987E-6,4.9003978722557E-5,-2.19754316242935E-6,20.0072918,20.0072918,1854.95861816406,1859.91870117187,52.5301262634286,18.7295917593995,4.5496073,0,0,0,4449,20.0028,1857.43865966797,,,,,,,,,,,,,,,,,13.003003,,,,,,20.0072918,,,,
,46645095.47,20.00746535,1889.90588378906,4.90986386645264E-5,2.69934864010153E-7,1,0.999253354069792,40.0298881530762,1.9944636935408,16.1200007982552,0.00053227526782171,6.87056647254153E-5,0.25,-2.26298861586764E-6,4.88135355746752E-5,-2.13539091079314E-6,20.0072918,20.0076389,1859.91870117187,1919.89306640625,52.3347191336209,18.7287667590573,4.5496073,0,0,0,4449,20.0021,1889.90588378906,,,,,,,,,,,,,,,,,13.753754,,,,,,20.00746535,,,,
,46645097.6,20.0076199,1996.97283935547,4.95188811293229E-5,2.93518117107504E-7,1,0.999253354069792,40.0298881530762,1.99456069985979,16.1200007982552,0.000536455889433744,7.15707703349668E-5,0.25,-2.0711111827072E-6,4.92309249118298E-5,-1.94349020678449E-6,20.0076199,20.0076199,1994.453125,1999.49255371094,51.9868944425632,18.7293496922288,4.6183531,0,0,0,4449,20.0003,1996.97283935547,,,,,,,,,,,,,,,,,13.003003,,,,,,20.0076199,,,,
,46645098.31,20.00770665,2031.89459228516,4.92821031857396E-5,2.53474474652169E-7,1,0.999253354069792,40.0298881530762,1.99455818606118,16.1200007982552,0.00053481461844116,6.59842433019208E-5,0.25,-2.54892572987714E-6,4.89966884267369E-5,-2.41896823466321E-6,20.0076199,20.0077934,1999.49255371094,2064.29663085938,52.3792719592171,18.7286781185816,4.6416528,0,0,0,4449,20.00235,2031.89459228516,,,,,,,,,,,,,,,,,14.129129,,,,,,20.00770665,,,,
,46645099.545,20.0078373,2094.29931640625,4.94899998050084E-5,2.01570930594029E-7,1,0.999253354069792,40.0298881530762,1.99458176053691,16.1200007982552,0.000536187385478226,7.13130088526936E-5,0.25,-2.0902440142819E-6,4.92023345516046E-5,-1.96240386271257E-6,20.0077934,20.0078812,2064.29663085938,2124.30200195313,52.1721404016209,18.7302275193109,4.618814,0,0,0,4449,20.00335,2094.29931640625,,,,,,,,,,,,,,,,,13.753754,,,,,,20.0078373,,,,
