[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,46585514.50,04/05/2017,2:41 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.7 Build 2,APPNAME
INFO,291,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,36.48,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,46586112.655,5.01719045,1012.33020019531,4.78427066164446E-5,2.23966690355311E-7,1,0.999253354069792,40.0298881530762,1.99491447081941,15.5500008817762,0.000518450536549397,6.87488658456551E-5,0.25,-2.03456280237357E-6,4.75640649306208E-5,-1.91558609290318E-6,5.0169287,5.0174522,977.5830078125,1047.07739257812,52.6114156294286,18.7074412768576,1.69230885,0,0,0,4449,4.9436,1012.33020019531,,,,,,,,,,,,,,,,,13.003003,,,,,,5.01719045,,,,
,46586113.845,5.01709775,1071.99719238281,4.82609880135716E-5,2.26867967320699E-7,1,0.999253354069792,40.0298881530762,1.99493504987779,15.5500008817762,0.000523040693977685,6.90558125272191E-5,0.25,-2.0798536520066E-6,4.79800090612771E-5,-1.9595846878929E-6,5.0169287,5.0172668,1047.07739257812,1096.9169921875,52.6309563424094,18.7021299798407,1.69230885,0,0,0,4449,4.9432,1071.99719238281,,,,,,,,,,,,,,,,,13.003003,,,,,,5.01709775,,,,
,46586114.855,5.0169406,1121.86956787109,4.80723799387608E-5,2.49782033181339E-7,1,0.999253354069792,40.0298881530762,1.99491219718176,15.5500008817762,0.000521404357931222,6.64401563317964E-5,0.25,-2.28982780953517E-6,4.77930187809541E-5,-2.1686630875892E-6,5.0166144,5.0172668,1096.9169921875,1146.82214355469,52.4175717566594,18.7035865839041,1.7007193,0,0,0,4449,4.94495,1121.86956787109,,,,,,,,,,,,,,,,,12.252253,,,,,,5.0169406,,,,
,46586115.88,5.0174491,1171.87213134766,4.84627158469084E-5,2.47465673335355E-7,1,0.999253354069792,40.0298881530762,1.99477666580037,15.5500008817762,0.000525364098875538,6.83415727384067E-5,0.25,-2.18147498202173E-6,4.81808344153494E-5,-2.06000119101936E-6,5.0166144,5.0182838,1146.82214355469,1196.92211914062,52.5082406648902,18.7075488901791,1.67548705,0,0,0,4449,4.944,1171.87213134766,,,,,,,,,,,,,,,,,13.003003,,,,,,5.0174491,,,,
,46586116.925,5.01801725,1224.28765869141,4.80405635944901E-5,2.74280177435891E-7,1,0.999253354069792,40.0298881530762,1.99496514092703,15.5500008817762,0.000520177981479218,7.14796812542606E-5,0.25,-1.81602748799213E-6,4.77603947299783E-5,-1.69758147050955E-6,5.0177507,5.0182838,1196.92211914062,1251.65319824219,52.1307140901017,18.7050670640944,1.6670766,0,0,0,4449,4.9433,1224.28765869141,,,,,,,,,,,,,,,,,13.003003,,,,,,5.01801725,,,,
,46586118,5.01787445,1279.15893554688,4.86447044050171E-5,3.31048512357273E-7,1,0.999253354069792,40.0298881530762,1.99473142066706,15.5500008817762,0.000527118426238744,6.97779494280054E-5,0.25,-2.08001963329521E-6,4.83615888815208E-5,-1.95857146428545E-6,5.0177507,5.0179982,1251.65319824219,1306.66467285156,52.5035508937748,18.7078425601221,1.69230885,0,0,0,4449,4.9445,1279.15893554688,,,,,,,,,,,,,,,,,12.252253,,,,,,5.01787445,,,,
,46586118.99,5.01825905,1329.10125732422,4.83902059098021E-5,1.79919920640751E-7,1,0.999253354069792,40.0298881530762,1.99488890641764,15.5500008817762,0.000525164974153931,6.50752291241834E-5,0.25,-2.47298416767607E-6,4.81095112302419E-5,-2.34970417664785E-6,5.0179982,5.0185199,1306.66467285156,1351.53784179688,52.0259758685247,18.7080911568404,1.7092142,0,0,0,4449,4.94345,1329.10125732422,,,,,,,,,,,,,,,,,13.003003,,,,,,5.01825905,,,,
,46586119.89,5.017812,1373.90069580078,4.86766802082114E-5,2.83753735245264E-7,1,0.999253354069792,40.0298881530762,1.99488890641764,15.5500008817762,0.000527984605151383,6.71054278090878E-5,0.25,-2.33476668579858E-6,4.83940108630529E-5,-2.21159007445426E-6,5.0171041,5.0185199,1351.53784179688,1396.26354980469,52.0658389230055,18.7080911568404,1.69230885,0,0,0,4449,4.9417,1373.90069580078,,,,,,,,,,,,,,,,,13.003003,,,,,,5.017812,,,,
,46586120.875,5.0172071,1423.66101074219,4.80810803800939E-5,2.95697976013359E-7,1,0.999253354069792,40.0298881530762,1.99481763943465,15.5500008817762,0.000521636735357765,6.55460236683515E-5,0.25,-2.37472102146618E-6,4.78020572770153E-5,-2.25256789370164E-6,5.0171041,5.0173101,1396.26354980469,1451.05847167969,52.5621730327171,18.7104689239146,1.68381395,0,0,0,4449,4.9424,1423.66101074219,,,,,,,,,,,,,,,,,13.003003,,,,,,5.0172071,,,,
,46586121.95,5.01663945,1475.98809814453,4.88221298459598E-5,2.7731770834883E-7,1,0.999253354069792,40.0298881530762,1.99489794044529,15.5500008817762,0.000528756012743695,7.19008688868011E-5,0.25,-1.91474872848663E-6,4.85377250494644E-5,-1.79356514799618E-6,5.0159688,5.0173101,1451.05847167969,1500.91772460938,52.5996912016402,18.7078966540018,1.68381395,0,0,0,4449,4.9439,1475.98809814453,,,,,,,,,,,,,,,,,12.252253,,,,,,5.01663945,,,,
