#File generated by ModelExp v0.6.7
#Read datafile: ../../rescale/Ol_CoFe_C_DisorderedWafer_300K_LangevinSAXSscaled.xye
#Started Fit at 2019-01-04 17:19:59.879138
#Finished Fit at 2019-01-04 17:19:59.911718
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 7
#    # data points      = 1110
#    # variables        = 2
#    chi-square         = 663.388803
#    reduced chi-square = 0.59872636
#    Akaike info crit   = -567.376992
#    Bayesian info crit = -557.352761
#[[Variables]]
#    Ms:            55.2251295 +/- 0.30916850 (0.56%) (init = 55.2)
#    mu:            6250 (fixed)
#    chi:           37.7715448 +/- 0.30440847 (0.81%) (init = 37.2)
#    sigMu:         0 (fixed)
#    orderHermite:  50 (fixed)
#    T:             300 (fixed)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(Ms, chi) = -0.870

#[[Data]] 0
#B / T	M / kAm-1	sM / kAm-1	Mmodel / kAm-1
-0.882075293	-85.0677672376	5.4883258295	-84.06855939331851
-0.8750665039	-85.9990654078	6.9153746767	-83.76799305451327
-0.8680841309	-84.3222051176	6.7114388392	-83.46798418634228
-0.8673288086	-85.185643711	6.4366180133	-83.4354955441689
-0.8573337402	-85.441295313	4.2124442397	-83.0049212292096
-0.8560710938	-81.3416677158	4.655797051	-82.9504399723161
-0.847562207	-80.1183444569	7.4869354684	-82.58276707879742
-0.845811377	-86.5659101986	6.9399010604	-82.50699740353653
-0.8368408691	-76.8423374222	7.0983573827	-82.11815316780854
-0.8360614258	-84.242769042	5.1134479159	-82.08431599251911
-0.8258468262	-84.8009933435	4.7488641513	-81.64011302751447
-0.8253100586	-82.0020429337	6.2403045399	-81.61673061377367
-0.8140760986	-81.374719435	6.8052121515	-81.12642173929945
-0.8096198486	-79.5619886116	7.4285141611	-80.93142038365646
-0.8025708252	-80.2543928727	5.0525873444	-80.62235662773773
-0.7985895508	-82.4723547353	5.0810895535	-80.44746405765723
-0.7923365723	-81.2665000405	6.9808496178	-80.17228097237675
-0.7883516113	-80.706158398	6.1738291043	-79.99658677186075
-0.7806039551	-76.9763669507	5.4762905911	-79.65426222279388
-0.7791223633	-77.8619559562	5.8923802637	-79.58868662134759
-0.7716213623	-79.5313680137	4.7647894371	-79.25612395796168
-0.768612915	-79.8004112537	5.9060220017	-79.12247210618497
-0.759375708	-79.3884407446	5.9980032872	-78.71111316612897
-0.7586386963	-77.9328656137	6.4931693397	-78.67822643585849
-0.7478895752	-78.447874663	4.9777882877	-78.19745129328652
-0.7476331299	-77.5010712832	5.1480642202	-78.18595502678318
-0.7378928955	-75.8355026783	6.0481436645	-77.74837569745632
-0.7361176025	-78.0203266587	5.8003119908	-77.66842212448093
-0.7261323486	-78.593160427	5.8172149088	-77.21754296407606
-0.7253775879	-77.0350465161	5.3486753069	-77.18337961647646
-0.7151413574	-73.0640341406	4.4102229243	-76.71887010839231
-0.7146613037	-71.2231614317	4.8379622203	-76.69703100952486
-0.7044003906	-76.4427112393	7.223452615	-76.2290228378733
-0.7041333252	-79.8577887246	4.4645635848	-76.21681047634095
-0.6949245117	-71.4512469038	6.0173015848	-75.79471094912563
-0.6916337158	-76.3410756506	5.0831768152	-75.64339283165913
-0.6851612549	-78.641272766	4.4764022041	-75.34501741876612
-0.6801446777	-77.5269510914	4.8040600677	-75.11305143277211
-0.6744075928	-75.9614626352	5.5758408212	-74.84699457926331
-0.6676535156	-72.5643082614	5.7074526077	-74.53268766751827
-0.663680835	-73.2548843347	4.5939295042	-74.34725275558625
-0.6576684814	-71.641302113	4.8951845408	-74.06579800993894
-0.6536998779	-75.8278800103	5.4268831326	-73.87946897705437
-0.647391748	-69.5122828995	6.0058356393	-73.58237821385546
-0.6421927002	-73.2078116216	4.4748237379	-73.33665264616846
-0.6364074219	-72.6447886163	3.9040477027	-73.0622719598806
-0.6327043945	-68.0471234874	4.1850258912	-72.88611082612044
-0.625919043	-74.2543026084	5.4404279529	-72.56220249458535
-0.6204407959	-68.3581762272	5.6855745832	-72.29961167705704
-0.6146791748	-71.9511919023	6.1911487676	-72.02236725824659
-0.6104325195	-69.9390266295	5.4366059335	-71.81730133021779
-0.6019220947	-68.1949035707	4.2003710839	-71.40444622624574
-0.598946875	-68.8791954111	4.6652077035	-71.25950057745456
-0.5921688232	-63.2283984032	5.0309648517	-70.9280681123259
-0.5884625244	-66.1974441018	5.6542681263	-70.74610328491367
-0.5791791748	-65.7098114881	4.9564254633	-70.28796952316131
-0.5779620605	-66.3849886183	4.5842681212	-70.22764888239786
-0.5684356445	-70.0489959582	4.6434171618	-69.75339394753749
-0.5677138184	-70.830623501	5.0966127412	-69.7173026932079
-0.5564713135	-68.4594604805	4.1291697056	-69.15222313484095
-0.555482959	-63.5220734228	4.3478603041	-69.10227392710729
-0.5472017334	-69.3577205327	4.1707039039	-68.68196912391781
-0.5449981445	-62.2430415057	4.1653038644	-68.56957813132229
-0.5356941406	-66.2683342819	4.7731695164	-68.09239673328611
-0.5352126953	-64.7109260709	5.4599335069	-68.06758556402511
-0.5239652344	-67.531901864	3.4453065986	-67.4844868609293
-0.5237293213	-63.5015473225	4.3525368062	-67.47218374374098
-0.5129635498	-62.232937127	3.9032432396	-66.90741934734618
