#Generated dipole sums of a layer.
#Number of Sites N = 1000.
#z 	 f(z)
19.700000000000003	-0.0028256438460152124
19.800000000000004	-0.002825629913265606
19.900000000000002	-0.002825615910092253
20.000000000000004	-0.0028256018364903254
20.1	-0.0028255876924683848
20.200000000000003	-0.0028255734780244677
20.300000000000004	-0.002825559193163475
20.400000000000002	-0.0028255448378798737
20.500000000000004	-0.0028255304121842764
20.6	-0.0028255159160742813
20.700000000000003	-0.002825501349554172
20.800000000000004	-0.002825486712621698
20.900000000000002	-0.002825472005281859
21.000000000000004	-0.0028254572275365746
21.1	-0.0028254423793862915
21.200000000000003	-0.002825427460834144
21.300000000000004	-0.0028254124718818567
21.400000000000002	-0.002825397412530392
21.500000000000004	-0.002825382282781309
21.6	-0.0028253670826403035
21.700000000000003	-0.0028253518121040292
21.800000000000004	-0.0028253364711780865
21.900000000000002	-0.0028253210598654602
22.000000000000004	-0.0028253055781617053
22.1	-0.002825290026076387
22.200000000000003	-0.002825274403607107
22.300000000000004	-0.002825258710756202
22.400000000000002	-0.0028252429475292004
22.500000000000004	-0.0028252271139233938
22.6	-0.0028252112099427735
22.700000000000003	-0.0028251952355925316
22.800000000000004	-0.002825179190866881
22.900000000000002	-0.002825163075776723
23.000000000000004	-0.0028251468903181635
23.1	-0.002825130634496903
23.200000000000003	-0.002825114308312368
23.300000000000004	-0.002825097911765812
23.400000000000002	-0.0028250814448653036
23.500000000000004	-0.00282506490760755
23.6	-0.0028250482999950333
23.700000000000003	-0.002825031622029928
23.800000000000004	-0.002825014873716925
23.900000000000002	-0.002824998055056039
24.000000000000004	-0.0028249811660478524
24.1	-0.0028249642067000613
24.200000000000003	-0.0028249471770100012
24.300000000000004	-0.0028249300769798047
24.400000000000002	-0.0028249129066162193
24.500000000000004	-0.002824895665916629
24.6	-0.002824878354887566
24.700000000000003	-0.002824860973524843
24.800000000000004	-0.002824843521835644
24.900000000000002	-0.0028248259998219388
25.000000000000004	-0.0028248084074840945
25.1	-0.0028247907448279838
25.200000000000003	-0.002824773011853759
25.300000000000004	-0.002824755208559056
25.400000000000002	-0.0028247373349511275
25.500000000000004	-0.002824719391032718
25.6	-0.002824701376805771
25.700000000000003	-0.002824683292269909
25.800000000000004	-0.0028246651374320845
25.900000000000002	-0.002824646912288865
26.000000000000004	-0.002824628616850083
26.1	-0.002824610251107283
26.200000000000003	-0.0028245918150751146
26.300000000000004	-0.002824573308746728
26.400000000000002	-0.002824554732129005
26.500000000000004	-0.0028245360852236557
26.6	-0.0028245173680317903
26.700000000000003	-0.002824498580555067
26.800000000000004	-0.0028244797227999757
26.900000000000002	-0.002824460794762822
27.000000000000004	-0.002824441796453233
27.1	-0.002824422727868079
27.200000000000003	-0.0028244035890106385
27.300000000000004	-0.0028243843798865503
27.400000000000002	-0.0028243651004979725
27.500000000000004	-0.0028243457508438704
27.6	-0.0028243263309241616
27.700000000000003	-0.002824306840751694
27.800000000000004	-0.0028242872803185483
27.900000000000002	-0.0028242676496352563
28.000000000000004	-0.0028242479486984733
28.1	-0.002824228177514647
28.200000000000003	-0.002824208336084013
28.300000000000004	-0.002824188424409921
28.400000000000002	-0.002824168442493708
28.500000000000004	-0.0028241483903399694
28.6	-0.0028241282679491546
28.700000000000003	-0.002824108075326799
28.800000000000004	-0.002824087812472691
28.900000000000002	-0.002824067479390698
29.000000000000004	-0.0028240470760822643
29.1	-0.002824026602552987
29.200000000000003	-0.002824006058800406
29.300000000000004	-0.002823985444831372
29.400000000000002	-0.0028239647606494956
29.500000000000004	-0.002823944006252134
29.6	-0.002823923181646827
29.700000000000003	-0.0028239022868356877
29.800000000000004	-0.002823881321817805
29.900000000000002	-0.0028238602865983866
30.000000000000004	-0.002823839181181509
30.1	-0.0028238180055699547
30.200000000000003	-0.002823796759762204
30.300000000000004	-0.002823775443765394
30.400000000000002	-0.0028237540575792013
30.500000000000004	-0.0028237326012073914
30.6	-0.002823711074653559
30.700000000000003	-0.0028236894779205294
30.800000000000004	-0.0028236678110121678
30.900000000000002	-0.0028236460739285486
31.000000000000004	-0.002823624266670856
31.1	-0.0028236023892475124
