#Extracted data using VSM extraction tool v1.1 
#Loaded parameter file: extractVSM.dat
#Desired unit of B: T
#Desired unit of M: memu
#Reading column for B: Applied Field
#Reading column for M: Raw Signal Mx
#Estimate noise level: 5e-3 memu
#Loading data from file: dd144_dry-Hys-00.VHD
#Save data to file: dd144_dry.xye
#Extraction performed at: Wed Oct 12 13:39:32 2016
#Unit of B in data: Oe
#Changing unit by multiplying with factor: 0.0001
#Unit of M in data: memu
#Applied image correction factors to M by linear interpolation of following values
#14998.0	1.0
#15247.0	1.000156
#15497.0	1.000302
#15747.0	1.000527
#15997.0	1.000751
#16247.0	1.001191
#16497.0	1.001494
#16746.0	1.001865
#16996.0	1.002237
#17247.0	1.002688
#17496.0	1.003286
#17746.0	1.003738
#17996.0	1.004259
#18245.0	1.005007
#18495.0	1.005686
#18745.0	1.006367
#18995.0	1.007118

#Substracted file: dd144_dry.xye
#Using Slope: -1.257
#Rescaled file: dd144_dry_BGLinSub.xy
#Rescale Factor: 0.74
#Sigma Scalefactor: 0.0
#B / T	M_scaled / emug-1	sM_scaled / emug-1	M_prescaling / memu	sM_prescaling / memu	M_raw / memu	sM_raw / memu
0.0576	13.6149637838	0.00675675675676	10.0750732	0.005	10.00267	0.005
0.0551	13.279482027	0.00675675675676	9.8268167	0.005	9.757556	0.005
0.0526	12.93553	0.00675675675676	9.5722922	0.005	9.506174	0.005
0.0501	12.5721077027	0.00675675675676	9.3033597	0.005	9.240384	0.005
0.0476	12.2005962162	0.00675675675676	9.0284412	0.005	8.968608	0.005
0.0451	11.8124955405	0.00675675675676	8.7412467	0.005	8.684556	0.005
0.0426	11.4054327027	0.00675675675676	8.4400202	0.005	8.386472	0.005
0.0401	10.9826725676	0.00675675675676	8.1271777	0.005	8.076772	0.005
0.0376	10.5347881081	0.00675675675676	7.7957432	0.005	7.74848	0.005
0.0351	10.0693604054	0.00675675675676	7.4513267	0.005	7.407206	0.005
0.0326	9.57729621622	0.00675675675676	7.0871992	0.005	7.046221	0.005
0.0301	9.06299013514	0.00675675675676	6.7066127	0.005	6.668777	0.005
0.0276	8.52781108108	0.00675675675676	6.3105802	0.005	6.275887	0.005
0.0251	7.95511986486	0.00675675675676	5.8867887	0.005	5.855238	0.005
0.0226	7.34638405405	0.00675675675676	5.4363242	0.005	5.407916	0.005
0.0201	6.70728337838	0.00675675675676	4.9633897	0.005	4.938124	0.005
0.0176	6.02689756757	0.00675675675676	4.4599042	0.005	4.437781	0.005
0.0151	5.30998067568	0.00675675675676	3.9293857	0.005	3.910405	0.005
0.0126	4.54987189189	0.00675675675676	3.3669052	0.005	3.351067	0.005
0.0101	3.73758337838	0.00675675675676	2.7658117	0.005	2.753116	0.005
0.0076	2.88163810811	0.00675675675676	2.1324122	0.005	2.122859	0.005
0.0051	1.98013743243	0.00675675675676	1.4653017	0.005	1.458891	0.005
0.0041	1.60929824324	0.00675675675676	1.1908807	0.005	1.185727	0.005
0.0031	1.22943527027	0.00675675675676	0.9097821	0.005	0.9058854	0.005
0.0021	0.845777297297	0.00675675675676	0.6258752	0.005	0.6232355	0.005
0.0011	0.459270945946	0.00675675675676	0.3398605	0.005	0.3384778	0.005
0.0	0.0768665540541	0.00675675675676	0.05688125	0.005	0.05688125	0.005
-0.0007	-0.304384459459	-0.00675675675676	-0.2252445	0.005	-0.2243646	0.005
-0.0017	-0.688043243243	-0.00675675675676	-0.509152	0.005	-0.5070151	0.005
-0.0027	-1.06790337838	-0.00675675675676	-0.7902485	0.005	-0.7868546	0.005
-0.0037	-1.44586743243	-0.00675675675676	-1.0699419	0.005	-1.065291	0.005
-0.0047	-1.82098635135	-0.00675675675676	-1.3475299	0.005	-1.341622	0.005
-0.0072	-2.72865459459	-0.00675675675676	-2.0192044	0.005	-2.010154	0.005
-0.0097	-3.58743905405	-0.00675675675676	-2.6547049	0.005	-2.642512	0.005
-0.0122	-4.40921540541	-0.00675675675676	-3.2628194	0.005	-3.247484	0.005
-0.0147	-5.17787148649	-0.00675675675676	-3.8316249	0.005	-3.813147	0.005
-0.0172	-5.90759918919	-0.00675675675676	-4.3716234	0.005	-4.350003	0.005
-0.0197	-6.58608635135	-0.00675675675676	-4.8737039	0.005	-4.848941	0.005
-0.0222	-7.23040594595	-0.00675675675676	-5.3505004	0.005	-5.322595	0.005
-0.0247	-7.84436202703	-0.00675675675676	-5.8048279	0.005	-5.77378	0.005
-0.0272	-8.42224513514	-0.00675675675676	-6.2324614	0.005	-6.198271	0.005
-0.0297	-8.96694445946	-0.00675675675676	-6.6355389	0.005	-6.598206	0.005
-0.0322	-9.48409918919	-0.00675675675676	-7.0182334	0.005	-6.977758	0.005
-0.0347	-9.9818322973	-0.00675675675676	-7.3865559	0.005	-7.342938	0.005
-0.0372	-10.4520045946	-0.00675675675676	-7.7344834	0.005	-7.687723	0.005
-0.0397	-10.8989647297	-0.00675675675676	-8.0652339	0.005	-8.015331	0.005
-0.0422	-11.3297816216	-0.00675675675676	-8.3840384	0.005	-8.330993	0.005
-0.0447	-11.7435147297	-0.00675675675676	-8.6902009	0.005	-8.634013	0.005
-0.0472	-12.1340045946	-0.00675675675676	-8.9791634	0.005	-8.919833	0.005
-0.0497	-12.5106728378	-0.00675675675676	-9.2578979	0.005	-9.195425	0.005
-0.0522	-12.8764532432	-0.00675675675676	-9.5285754	0.005	-9.46296	0.005
-0.0547	-13.2209295946	-0.00675675675676	-9.7834879	0.005	-9.71473	0.005
-0.0572	-13.5511586486	-0.00675675675676	-10.0278574	0.005	-9.955957	0.005
-0.0597	-13.8775714865	-0.00675675675676	-10.2694029	0.005	-10.19436	0.005
-0.0623	-14.1894609459	-0.00675675675676	-10.5002011	0.005	-10.42189	0.005
-0.0648	-14.4944913514	-0.00675675675676	-10.7259236	0.005	-10.64447	0.005
-0.0673	-14.7834677027	-0.00675675675676	-10.9397661	0.005	-10.85517	0.005
-0.0698	-15.0619710811	-0.00675675675676	-11.1458586	0.005	-11.05812	0.005
-0.0723	-15.3351906757	-0.00675675675676	-11.3480411	0.005	-11.25716	0.005
-0.0748	-15.5995183784	-0.00675675675676	-11.5436436	0.005	-11.44962	0.005
-0.0773	-15.8552244595	-0.00675675675676	-11.7328661	0.005	-11.6357	0.005
-0.0798	-16.1024035135	-0.00675675675676	-11.9157786	0.005	-11.81547	0.005
-0.0823	-16.3458122973	-0.00675675675676	-12.0959011	0.005	-11.99245	0.005
-0.0848	-16.5773291892	-0.00675675675676	-12.2672236	0.005	-12.16063	0.005
-0.0873	-16.8059812162	-0.00675675675676	-12.4364261	0.005	-12.32669	0.005
-0.0898	-17.0270656757	-0.00675675675676	-12.6000286	0.005	-12.48715	0.005
-0.0923	-17.2443393243	-0.00675675675676	-12.7608111	0.005	-12.64479	0.005
-0.0948	-17.4516535135	-0.00675675675676	-12.9142236	0.005	-12.79506	0.005
-0.0973	-17.6551974324	-0.00675675675676	-13.0648461	0.005	-12.94254	0.005
-0.0998	-17.855862973	-0.00675675675676	-13.2133386	0.005	-13.08789	0.005
-0.1497	-21.0187066216	-0.00675675675676	-15.5538429	0.005	-15.36567	0.005
-0.1996	-23.2376718919	-0.00675675675676	-17.1958772	0.005	-16.94498	0.005
-0.2497	-24.9184498649	-0.00675675675676	-18.4396529	0.005	-18.12578	0.005
-0.2997	-26.2688147297	-0.00675675675676	-19.4389229	0.005	-19.0622	0.005
-0.3497	-27.3904768919	-0.00675675675676	-20.2689529	0.005	-19.82938	0.005
-0.3997	-28.3570039189	-0.00675675675676	-20.9841829	0.005	-20.48176	0.005
-0.4498	-29.1955927027	-0.00675675675676	-21.6047386	0.005	-21.03934	0.005
-0.4998	-29.9523764865	-0.00675675675676	-22.1647586	0.005	-21.53651	0.005
-0.5497	-30.624557973	-0.00675675675676	-22.6621729	0.005	-21.9712	0.005
-0.5998	-31.2401332432	-0.00675675675676	-23.1176986	0.005	-22.36375	0.005
-0.6498	-31.8166197297	-0.00675675675676	-23.5442986	0.005	-22.7275	0.005
-0.6998	-32.3338089189	-0.00675675675676	-23.9270186	0.005	-23.04737	0.005
-0.7498	-32.8177818919	-0.00675675675676	-24.2851586	0.005	-23.34266	0.005
-0.7997	-33.2697741892	-0.00675675675676	-24.6196329	0.005	-23.61441	0.005
-0.8498	-33.7012683784	-0.00675675675676	-24.9389386	0.005	-23.87074	0.005
-0.8998	-34.0912818919	-0.00675675675676	-25.2275486	0.005	-24.0965	0.005
-0.9498	-34.4642278378	-0.00675675675676	-25.5035286	0.005	-24.30963	0.005
-0.9998	-34.8276737838	-0.00675675675676	-25.7724786	0.005	-24.51573	0.005
-1.0998	-35.4981197297	-0.00675675675676	-26.2686086	0.005	-24.88616	0.005
-1.1998	-36.0992818919	-0.00675675675676	-26.7134686	0.005	-25.20532	0.005
-1.2999	-36.6527085135	-0.00675675675676	-27.1230043	0.005	-25.48903	0.005
-1.3998	-37.1606872973	-0.00675675675676	-27.4989086	0.005	-25.73936	0.005
-1.4998	-37.6318764865	-0.00675675675676	-27.8475886	0.005	-25.96234	0.005
-1.5997	-38.0729279405	-0.00675675675676	-28.173966676	0.005	-26.14351	0.005
-1.6999	-38.502216182	-0.00675675675676	-28.4916399747	0.005	-26.2959	0.005
-1.7998	-38.9100993262	-0.00675675675676	-28.7934735014	0.005	-26.41845	0.005
-1.8998	-39.2993647416	-0.00675675675676	-29.0815299088	0.005	-26.50482	0.005
-1.8002	-38.9078420814	-0.00675675675676	-28.7918031402	0.005	-26.41597	0.005
-1.7002	-38.5071836509	-0.00675675675676	-28.4953159017	0.005	-26.29905	0.005
-1.6001	-38.08002295	-0.00675675675676	-28.179216983	0.005	-26.14807	0.005
-1.5001	-37.6329249964	-0.00675675675676	-27.8483644973	0.005	-25.96269	0.005
-1.4001	-37.1849536486	-0.00675675675676	-27.5168657	0.005	-25.75694	0.005
-1.3001	-36.6720347297	-0.00675675675676	-27.1373057	0.005	-25.50308	0.005
-1.2001	-36.1244536486	-0.00675675675676	-26.7320957	0.005	-25.22357	0.005
-1.1	-35.5117432432	-0.00675675675676	-26.27869	0.005	-24.89599	0.005
-1.0	-34.8541351351	-0.00675675675676	-25.79206	0.005	-24.53506	0.005
-0.95	-34.5034594595	-0.00675675675676	-25.53256	0.005	-24.33841	0.005
-0.9	-34.1229594595	-0.00675675675676	-25.25099	0.005	-24.11969	0.005
-0.8499	-33.7208841892	-0.00675675675676	-24.9534543	0.005	-23.88513	0.005
-0.7999	-33.3009922973	-0.00675675675676	-24.6427343	0.005	-23.63726	0.005
-0.7499	-32.8487760811	-0.00675675675676	-24.3080943	0.005	-23.36547	0.005
-0.7	-32.3687567568	-0.00675675675676	-23.95288	0.005	-23.07298	0.005
-0.6499	-31.8557085135	-0.00675675675676	-23.5732243	0.005	-22.7563	0.005
-0.5999	-31.3015193243	-0.00675675675676	-23.1631243	0.005	-22.40905	0.005
-0.5499	-30.6894382432	-0.00675675675676	-22.7101843	0.005	-22.01896	0.005
-0.4999	-30.0166139189	-0.00675675675676	-22.2122943	0.005	-21.58392	0.005
-0.4499	-29.2683706757	-0.00675675675676	-21.6585943	0.005	-21.09307	0.005
-0.3998	-28.4288359459	-0.00675675675676	-21.0373386	0.005	-20.53479	0.005
-0.3499	-27.4648571622	-0.00675675675676	-20.3239943	0.005	-19.88417	0.005
-0.2999	-26.3412760811	-0.00675675675676	-19.4925443	0.005	-19.11557	0.005
-0.2499	-24.985222027	-0.00675675675676	-18.4890643	0.005	-18.17494	0.005
-0.1998	-23.3034710811	-0.00675675675676	-17.2445686	0.005	-16.99342	0.005
-0.1499	-21.0901814865	-0.00675675675676	-15.6067343	0.005	-15.41831	0.005
-0.0999	-17.9239382432	-0.00675675675676	-13.2637143	0.005	-13.13814	0.005
-0.0973	-17.7159541892	-0.00675675675676	-13.1098061	0.005	-12.9875	0.005
-0.0948	-17.5095589189	-0.00675675675676	-12.9570736	0.005	-12.83791	0.005
-0.0923	-17.3012852703	-0.00675675675676	-12.8029511	0.005	-12.68693	0.005
-0.0898	-17.085417027	-0.00675675675676	-12.6432086	0.005	-12.53033	0.005
-0.0873	-16.8638460811	-0.00675675675676	-12.4792461	0.005	-12.36951	0.005
-0.085	-16.6549662162	-0.00675675675676	-12.324675	0.005	-12.21783	0.005
-0.0823	-16.396515	-0.00675675675676	-12.1334211	0.005	-12.02997	0.005
-0.0798	-16.1559981081	-0.00675675675676	-11.9554386	0.005	-11.85513	0.005
-0.0773	-15.9111974324	-0.00675675675676	-11.7742861	0.005	-11.67712	0.005
-0.075	-15.676222973	-0.00675675675676	-11.600405	0.005	-11.50613	0.005
-0.0723	-15.3912041892	-0.00675675675676	-11.3894911	0.005	-11.29861	0.005
