#Extracted data using VSM extraction tool v1.1 
#Loaded parameter file: extractVSM.dat
#Desired unit of B: T
#Desired unit of M: memu
#Reading column for B: Applied Field
#Reading column for M: Raw Signal Mx
#Estimate noise level: 5e-3 memu
#Loading data from file: dd144_dry-Hys-00.VHD
#Save data to file: dd144_dry.xye
#Extraction performed at: Wed Oct 12 13:39:32 2016
#Unit of B in data: Oe
#Changing unit by multiplying with factor: 0.0001
#Unit of M in data: memu
#Applied image correction factors to M by linear interpolation of following values
#14998.0	1.0
#15247.0	1.000156
#15497.0	1.000302
#15747.0	1.000527
#15997.0	1.000751
#16247.0	1.001191
#16497.0	1.001494
#16746.0	1.001865
#16996.0	1.002237
#17247.0	1.002688
#17496.0	1.003286
#17746.0	1.003738
#17996.0	1.004259
#18245.0	1.005007
#18495.0	1.005686
#18745.0	1.006367
#18995.0	1.007118

#Substracted file: dd144_dry.xye
#Using Slope: -1.257
#BG Scalefactor: 1
#BG Sigma Slope: 0.0
#B / T	M_sub / memu	sM_sub / memu	M_extracted / memu	sM_extracted / memu	M_raw / memu	sM_raw / memu
0.0101	2.7658117	0.005	2.753116	0.005	2.753116	0.005
0.0076	2.1324122	0.005	2.122859	0.005	2.122859	0.005
0.0051	1.4653017	0.005	1.458891	0.005	1.458891	0.005
0.0041	1.1908807	0.005	1.185727	0.005	1.185727	0.005
0.0031	0.9097821	0.005	0.9058854	0.005	0.9058854	0.005
0.0021	0.6258752	0.005	0.6232355	0.005	0.6232355	0.005
0.0011	0.3398605	0.005	0.3384778	0.005	0.3384778	0.005
0.0	0.05688125	0.005	0.05688125	0.005	0.05688125	0.005
-0.0007	-0.2252445	0.005	-0.2243646	0.005	-0.2243646	0.005
-0.0017	-0.509152	0.005	-0.5070151	0.005	-0.5070151	0.005
-0.0027	-0.7902485	0.005	-0.7868546	0.005	-0.7868546	0.005
-0.0037	-1.0699419	0.005	-1.065291	0.005	-1.065291	0.005
-0.0047	-1.3475299	0.005	-1.341622	0.005	-1.341622	0.005
-0.0072	-2.0192044	0.005	-2.010154	0.005	-2.010154	0.005
-0.0097	-2.6547049	0.005	-2.642512	0.005	-2.642512	0.005
-0.0122	-3.2628194	0.005	-3.247484	0.005	-3.247484	0.005
-0.0147	-3.8316249	0.005	-3.813147	0.005	-3.813147	0.005
-0.0172	-4.3716234	0.005	-4.350003	0.005	-4.350003	0.005
-0.0197	-4.8737039	0.005	-4.848941	0.005	-4.848941	0.005
-0.0222	-5.3505004	0.005	-5.322595	0.005	-5.322595	0.005
-0.0247	-5.8048279	0.005	-5.77378	0.005	-5.77378	0.005
-0.0272	-6.2324614	0.005	-6.198271	0.005	-6.198271	0.005
-0.0297	-6.6355389	0.005	-6.598206	0.005	-6.598206	0.005
-0.0322	-7.0182334	0.005	-6.977758	0.005	-6.977758	0.005
-0.0347	-7.3865559	0.005	-7.342938	0.005	-7.342938	0.005
-0.0372	-7.7344834	0.005	-7.687723	0.005	-7.687723	0.005
-0.0397	-8.0652339	0.005	-8.015331	0.005	-8.015331	0.005
-0.0422	-8.3840384	0.005	-8.330993	0.005	-8.330993	0.005
-0.0447	-8.6902009	0.005	-8.634013	0.005	-8.634013	0.005
-0.0472	-8.9791634	0.005	-8.919833	0.005	-8.919833	0.005
