#Extracted data using VSM extraction tool v1.1 
#Loaded parameter file: extractVSM.dat
#Desired unit of B: T
#Desired unit of M: memu
#Reading column for B: Applied Field
#Reading column for M: Raw Signal Mx
#Estimate noise level: 5e-3 memu
#Loading data from file: dd144_dry-Hys-00.VHD
#Save data to file: dd144_dry.xye
#Extraction performed at: Wed Oct 12 13:39:32 2016
#Unit of B in data: Oe
#Changing unit by multiplying with factor: 0.0001
#Unit of M in data: memu
#Applied image correction factors to M by linear interpolation of following values
#14998.0	1.0
#15247.0	1.000156
#15497.0	1.000302
#15747.0	1.000527
#15997.0	1.000751
#16247.0	1.001191
#16497.0	1.001494
#16746.0	1.001865
#16996.0	1.002237
#17247.0	1.002688
#17496.0	1.003286
#17746.0	1.003738
#17996.0	1.004259
#18245.0	1.005007
#18495.0	1.005686
#18745.0	1.006367
#18995.0	1.007118

#Substracted file: dd144_dry.xye
#Using Slope: -1.257
#Rescaled file: dd144_dry_BGLinSub.xy
#Rescale Factor: 0.13962264150943396
#Sigma Scalefactor: 0.0
#B / T	M_scaled / kAm-1	sM_scaled / kAm-1	M_prescaling / memu	sM_prescaling / memu	M_raw / memu	sM_raw / memu
1.5005	199.377994931	0.0358108108108	27.8376823111	0.005	25.95144	0.005
1.4005	196.953146014	0.0358108108108	27.4991185	0.005	25.73869	0.005
1.3004	194.261421405	0.0358108108108	27.1232928	0.005	25.48869	0.005
1.2004	191.271361946	0.0358108108108	26.7058128	0.005	25.19691	0.005
1.1003	188.09432923	0.0358108108108	26.2622271	0.005	24.87915	0.005
1.0004	184.584624108	0.0358108108108	25.7721928	0.005	24.51469	0.005
0.9503	182.644854905	0.0358108108108	25.5013571	0.005	24.30683	0.005
0.9003	180.685788689	0.0358108108108	25.2278271	0.005	24.09615	0.005
0.8502	178.570045162	0.0358108108108	24.9324214	0.005	23.86372	0.005
0.8002	176.329434351	0.0358108108108	24.6195814	0.005	23.61373	0.005
0.7503	173.956364365	0.0358108108108	24.2882471	0.005	23.34512	0.005
0.7002	171.365268135	0.0358108108108	23.9264714	0.005	23.04632	0.005
0.6502	168.65940327	0.0358108108108	23.5486714	0.005	22.73137	0.005
0.6002	165.671922189	0.0358108108108	23.1315514	0.005	22.3771	0.005
0.5502	162.412780297	0.0358108108108	22.6765014	0.005	21.9849	0.005
0.5002	158.861851919	0.0358108108108	22.1807114	0.005	21.55196	0.005
0.4502	154.906261378	0.0358108108108	21.6284214	0.005	21.06252	0.005
0.4002	150.422533	0.0358108108108	21.0023914	0.005	20.49934	0.005
0.3502	145.317487054	0.0358108108108	20.2896114	0.005	19.84941	0.005
0.3002	139.370099216	0.0358108108108	19.4592214	0.005	19.08187	0.005
0.2502	132.18036273	0.0358108108108	18.4553714	0.005	18.14087	0.005
0.2002	123.258027595	0.0358108108108	17.2096114	0.005	16.95796	0.005
0.1502	111.574535703	0.0358108108108	15.5783314	0.005	15.38953	0.005
