#PNR generated at 2019-01-16 15:38:59.784524
#[[Parameters]]
#i0	1.0
#bg	1.3999999999999998e-07
#roughnessSubstrate	20.041031505537347
#roughnessSpacer	23.527612662946385
#roughnessShellCube1	14.57008761856568
#roughnessCubeShell1	22.31642583659761
#roughnessShellPMMA	0.0
#roughnessPMMAShell	0.0
#roughnessShellCube2	14.57008761856568
#roughnessCubeShell2	22.31642583659761
#roughnessShellAir	0
#a	93.84
#packingDensity1	0.506358957399347
#packingDensity2	0.506358957399347
#sldSubstrate	2.079e-06
#sldCore	6.194e-06
#sldSpacer	4.186e-06
#sldShellLower	7.8e-08
#sldShellTop	7.8e-08
#sldPMMA	1.059e-06
#thicknessSpacer	24.25716072643032
#thicknessShell1Lower	36.60100058114454
#thicknessShell1Top	39.6
#thicknessPMMA	124.0
#thicknessShell2Lower	36.60100058114454
#thicknessShell2Top	0
#magSldCore1	9.199999999999997e-07
#magSldCore2	-9.200000000000001e-07
#polarization_p	1
#polarizationEfficiency	0.98
#gamma	0
#dTheta	0.0003
#wavelength	5
#dWavelength	0.025
#polarization_m	-1
#
#[[Data]]
#z	rho_nuc	rho_mag
-5.771823797138865	2.4752646639226917e-06	1.1195233229517883e-12
-3.0156393092167377	2.4956987773734003e-06	2.7152902056036752e-12
-0.2594548212945824	2.505085505151854e-06	6.363376616362632e-12
2.4967296666275445	2.5009912380644673e-06	1.4410945012606174e-11
5.252914154549671	2.481345181135358e-06	3.154137449548702e-11
8.009098642471827	2.444614097966955e-06	6.672786568970371e-11
10.765283130393954	2.389957234313906e-06	1.3646882535068173e-10
13.521467618316109	2.3173516362479866e-06	2.698529779870832e-10
16.277652106238236	2.2276822041674293e-06	5.16017243553505e-10
19.033836594160363	2.1227949177571974e-06	9.54396847532875e-10
21.790021082082518	2.0055143207634807e-06	1.7077182708570114e-09
24.546205570004645	1.8796262749837887e-06	2.956869523069765e-09
27.3023900579268	1.7498235230417673e-06	4.9556014268653044e-09
30.058574545848927	1.6216052695180695e-06	8.041622858139604e-09
32.814759033771054	1.5011148782821828e-06	1.263940368557804e-08
35.57094352169321	1.3948954073782918e-06	1.9249420617849192e-08
38.327128009615336	1.309545214248837e-06	2.8419263354667583e-08
41.08331249753749	1.2512685566314883e-06	4.069439663843482e-08
43.83949698545962	1.2253395944692444e-06	5.6550465637784005e-08
46.595681473381774	1.2355289432313278e-06	7.631423289747075e-08
