[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,15643993.59,04/16/2018,7:07 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.7 Build 2,APPNAME
INFO,291,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,36.06,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,15644056.71,5.00744585,1420.41998291016,6.7013226104635E-5,2.25787226432643E-7,1,0.999253354069792,40.0298881530762,2.00555391737088,15.6900031119585,0.000728573770565405,0.000104003282233804,0.25,-2.1825820780668E-6,6.6621799143482E-5,-2.01900428365784E-6,5.0072966,5.0075951,1385.49963378906,1455.34033203125,52.7599250480825,18.6717093535634,3.1125,0,0,0,4449,4.95635,1420.41998291016,,,,,,,,,,,,,,,,,12.252253,,,,,,5.00744585,,,,
,15644058,5.0081456,1485.28521728516,6.91673427699923E-5,1.99858929525388E-7,1,0.999253354069792,40.0298881530762,2.0055907116531,15.6900031119585,0.000752273184446361,0.000105838208966933,0.25,-2.39259021903033E-6,6.87637092111998E-5,-2.2227782483036E-6,5.0075951,5.0086961,1455.34033203125,1515.23010253906,52.5473220908517,18.6714583892167,3.1125,0,0,0,4449,4.9564,1485.28521728516,,,,,,,,,,,,,,,,,12.252253,,,,,,5.0081456,,,,
,15644060.36,5.0081391,1602.52471923828,7.00870974087115E-5,2.046081541262E-7,1,0.999253354069792,40.0298881530762,2.00556453785119,15.6900031119585,0.000761853279058583,0.000109601391453062,0.25,-2.20665682638711E-6,6.96777193062547E-5,-2.03559812209641E-6,5.0081391,5.0081391,1595.00341796875,1610.04602050781,52.6481521698325,18.6707242963547,3.1437492,0,0,0,4449,4.9571,1602.52471923828,,,,,,,,,,,,,,,,,12.252253,,,,,,5.0081391,,,,
,15644061.085,5.0081353,1639.85473632813,7.20640222883476E-5,2.34755321838424E-7,1,0.999253354069792,40.0298881530762,2.00559546873724,15.6900031119585,0.000783641785256049,0.000111063200419134,0.25,-2.41990196182926E-6,7.1643474960392E-5,-2.24303427992546E-6,5.0081315,5.0081391,1610.04602050781,1669.66345214844,52.6418991416786,18.6662324972673,3.1281246,0,0,0,4449,4.95695,1639.85473632813,,,,,,,,,,,,,,,,,12.252253,,,,,,5.0081353,,,,
,15644063.375,5.0099769,1751.78887939453,7.28487301528391E-5,2.2791942117524E-7,1,0.999253354069792,40.0298881530762,2.00564666489113,15.6900031119585,0.000792278444786366,0.000111802863867605,0.25,-2.49025189375973E-6,7.24238177735754E-5,-2.31091922285837E-6,5.0099769,5.0099769,1749.34533691406,1754.232421875,52.6966131380248,18.6675824308425,3.0206037,0,0,0,4449,4.9558,1751.78887939453,,,,,,,,,,,,,,,,,13.003003,,,,,,5.0099769,,,,
,15644064.01,5.00936725,1784.29925537109,7.36572326879369E-5,2.68517824632029E-7,1,0.999253354069792,40.0298881530762,2.00557926423094,15.6900031119585,0.000800220244926815,0.000117730617193173,0.25,-2.08408409161689E-6,7.3226657837998E-5,-1.90524215696242E-6,5.0087576,5.0099769,1754.232421875,1814.36608886719,52.6286114568517,18.6732350956964,3.035767,0,0,0,4449,4.9556,1784.29925537109,,,,,,,,,,,,,,,,,12.252253,,,,,,5.00936725,,,,
,15644065.12,5.00912785,1839.27575683594,7.60998443631997E-5,1.86853459602747E-7,1,0.999253354069792,40.0298881530762,2.00554023833822,15.6900031119585,0.000826652049375209,0.000122146374874382,0.25,-2.10582109075225E-6,7.56549427100176E-5,-1.92118305374566E-6,5.0087576,5.0094981,1814.36608886719,1864.18542480469,52.4910448374671,18.6688612965553,3.08171515,0,0,0,4449,4.95575,1839.27575683594,,,,,,,,,,,,,,,,,13.378378,,,,,,5.00912785,,,,
,15644067.105,5.0096874,1936.34234619141,7.65760940494829E-5,2.0202010385551E-7,1,0.999253354069792,40.0298881530762,2.0054926944675,15.6900031119585,0.000831721549800912,0.000123399039243921,0.25,-2.07385943513623E-6,7.61284115299107E-5,-1.88807228761746E-6,5.0096874,5.0096874,1933.84533691406,1938.83935546875,52.6247033142556,18.6715652629601,3.1125,0,0,0,4449,4.9563,1936.34234619141,,,,,,,,,,,,,,,,,13.003003,,,,,,5.0096874,,,,
,15644068.62,5.00931165,2013.59149169922,7.86937867903792E-5,2.55727517218049E-7,1,0.999253354069792,40.0298881530762,2.00557880747752,15.6900031119585,0.000855397144187353,0.000123189365575499,0.25,-2.46699230458358E-6,7.82345728296835E-5,-2.27386916173484E-6,5.0086641,5.0099592,2008.6005859375,2018.58239746094,52.7802473895825,18.6706009231426,3.06655185,0,0,0,4449,4.9551,2013.59149169922,,,,,,,,,,,,,,,,,12.252253,,,,,,5.00931165,,,,
,15644070.11,5.0081573,2088.38305664062,7.95601755123878E-5,1.95029766208701E-7,1,0.999253354069792,40.0298881530762,2.00565139293898,15.6900031119585,0.000864022561042262,0.000129219687335908,0.25,-2.06241608030191E-6,7.90950120920509E-5,-1.86950494642283E-6,5.0081573,5.0081573,2083.36840820313,2093.39770507813,52.7200619936017,18.6696737872652,3.1125,0,0,0,4449,4.9545,2088.38305664062,,,,,,,,,,,,,,,,,12.252253,,,,,,5.0081573,,,,
