#Generated data by combining files:
#ES_S16_30K_ZFC_7Oe_Virgin_tranformed_angs_uu_masked_qz_I_corrected.xy
#ES_S16_30K_ZFC_7Oe_Virgin_tranformed_angs_du_masked_qz_I_corrected.xy
#q/A-1	I/a.u.	sI /a.u.
0.0934846549745	1.20313243202e-05	4.6606759278e-06
0.0942034069166	4.1368542652e-06	4.07069356401e-06
0.0949221505655	1.06095874972e-05	4.74626381196e-06
0.095640885858	1.46770416682e-05	5.30885531443e-06
0.0963596127308	1.01374198371e-05	4.65460352868e-06
0.0970783311207	5.30453997012e-06	3.76286491199e-06
0.0977970409643	6.81699976271e-06	3.66216542773e-06
0.0985157421984	1.74773144318e-05	4.497424924e-06
0.0992344347598	2.04204354161e-05	4.77368487549e-06
0.099953118585	9.71427139477e-06	3.98496174322e-06
0.100671793611	2.83793308575e-06	2.98216697432e-06
0.101390459774	5.94930303115e-06	3.02366855321e-06
0.102109117012	1.62863003933e-05	3.92274999079e-06
0.10282776526	1.471300254e-05	4.05626512259e-06
0.103546404456	5.15383189256e-06	3.46178271469e-06
0.104265034537	2.65024957737e-06	2.77107788748e-06
0.104983655438	6.17965702606e-06	2.7960707604e-06
0.105702267098	1.25929168984e-05	3.39115598703e-06
0.106420869451	1.08561621431e-05	3.34988362197e-06
0.107139462437	4.41065202894e-06	2.45028524209e-06
0.10785804599	2.47661815125e-06	2.06923504888e-06
0.108576620048	9.75339177593e-06	2.85041008487e-06
0.109295184547	1.24837848271e-05	3.19820227219e-06
0.110013739425	5.86627016356e-06	2.62251010163e-06
0.110732284618	2.64035619742e-06	2.02216724012e-06
0.111450820062	4.71567176075e-06	2.16221932448e-06
0.112169345695	7.72232089439e-06	2.5794152967e-06
0.112887861453	8.64327310049e-06	2.62035825267e-06
0.113606367274	5.62378584843e-06	2.20592693541e-06
0.114324863093	2.63707192534e-06	1.90176127509e-06
0.115043348847	6.17938280246e-06	2.13542186308e-06
0.115761824474	8.53001169244e-06	2.45498818638e-06
0.116480289909	5.19450707152e-06	2.35011955168e-06
0.11719874509	2.69132191209e-06	2.05965627752e-06
0.117917189954	2.32336122911e-06	1.90699692761e-06
0.118635624437	5.55463336825e-06	2.08716236729e-06
0.119354048476	6.51359966302e-06	2.40477275621e-06
0.120072462008	2.85162432111e-06	2.34764360881e-06
0.120790864969	1.2071911408e-06	2.04332901158e-06
