[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3735608881.15859,05/16/2018,5:07 am
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC654,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM507,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,494,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A1,OVEN_HW_VERSION
INFO,OVB210,OVEN_SERIAL_NUMBER
INFO,01.06.24,OVEN_SOFTWARE_VERSION
INFO,593,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3735618974.1735,300.000473022461,56226.5859375,-0.000163137485388626,8.53787562292386E-7,1,0.999253354069792,40.0298881530762,1.99675201585217,14.5600000396371,-0.00175835883337035,-0.000305701619842439,0.25,2.03532630532317E-7,-0.000163132849187679,9.64270997288579E-8,300,300,56201.30859375,56251.86328125,54.8414017947943,19.7232986539065,46.7407341003418,0,0,0,40,300.448455810547,1,6,1,2.1453857421875,43.49951171875,,,,,,,,,,,,,,,,
,3735618975.181,300.001449584961,56277.166015625,-0.000163526370359458,7.7610464400083E-7,1,0.999253354069792,40.0298881530762,1.99672319712863,14.5600000396371,-0.00176184793421131,-0.000310298469084536,0.25,-1.553360471824E-7,-0.000163521481761277,-2.62684654466513E-7,300.000946044922,300.000946044922,56251.86328125,56302.46875,54.8257692244096,19.7241747318439,46.7437019348145,0,0,0,40,300.446929931641,1,6,1,2.1478271484375,44.9657897949219,,,,,,,,,,,,,,,,
,3735618976.3,300.000854492188,56332.755859375,-0.000164249089493249,7.97884400245856E-7,1,0.999253354069792,40.0298881530762,1.99673251897048,14.5600000396371,-0.00176881445524541,-0.00031639892205688,0.25,-5.94748873090132E-7,-0.00016424389480116,-7.02557887212376E-7,300.001953125,300.001953125,56317.58203125,56347.9296875,54.7780898847366,19.7245457851629,46.7439727783203,0,0,0,40,300.44970703125,1,6,1,2.16506958007813,43.49951171875,,,,,,,,,,,,,,,,
,3735618977.216,300.000106811523,56380.86328125,-0.000164511426233527,8.32317147952671E-7,1,0.999253354069792,40.0298881530762,1.99672839010202,14.5600000396371,-0.00177253916730592,-0.000311747732493072,0.25,-1.17232179120545E-7,-0.000164506541735953,-2.2522644083741E-7,299.999755859375,299.999755859375,56358.10546875,56403.62109375,54.860942507775,19.7265869246257,46.7453231811523,0,0,0,40,300.449768066406,1,6,1,2.14645385742187,43.9882698059082,,,,,,,,,,,,,,,,
,3735618978.164,300.000747680664,56428.796875,-0.000165141417250343,8.94175654320223E-7,1,0.999253354069792,40.0298881530762,1.9967108852259,14.5600000396371,-0.0017785405471126,-0.000317344695850989,0.25,-5.26537902343286E-7,-0.000165136242083055,-6.34932231792622E-7,300.000457763672,300.000457763672,56403.62109375,56453.97265625,54.8328038810827,19.724294128735,46.7458610534668,0,0,0,40,300.450622558594,1,6,1,2.14599609375,43.49951171875,,,,,,,,,,,,,,,,
,3735618979.183,300.00065612793,56479.24609375,-0.00016391623796505,7.75189100518036E-7,1,0.999253354069792,40.0298881530762,1.99672564707714,14.5600000396371,-0.00176597670078077,-0.000311460097990952,0.25,-1.94823219981557E-7,-0.000163911317027599,-3.0242168484097E-7,300.001037597656,300.001037597656,56453.97265625,56504.51953125,54.9539563015635,19.7232356033093,46.7404632568359,0,0,0,40,300.449432373047,1,6,1,2.16522216796875,43.49951171875,,,,,,,,,,,,,,,,
,3735618980.326,300.000503540039,56537.4609375,-0.000164737590334174,9.51140213207279E-7,1,0.999253354069792,40.0298881530762,1.99672273740748,14.5600000396371,-0.00177272811679747,-0.000324982650244385,0.25,-1.30590201621435E-6,-0.000164731917024161,-1.41400572170542E-6,300.000274658203,300.000274658203,56519.671875,56555.25,54.8726669355635,19.7239250880815,46.7426223754883,0,0,0,40,300.450653076172,1,6,1,2.1649169921875,43.49951171875,,,,,,,,,,,,,,,,
,3735618981.1725,300.001312255859,56577.974609375,-0.000164983269085793,8.69280414473381E-7,1,0.999253354069792,40.0298881530762,1.99679056525842,14.5600000396371,-0.00177579073155019,-0.000323413211412141,0.25,-1.11626273015102E-6,-0.000164977708550174,-1.22453181571199E-6,300.000732421875,300.000732421875,56555.25,56600.69921875,54.9484849019289,19.7250460234784,46.7423553466797,0,0,0,40,300.446685791016,1,6,1,2.15057373046875,43.0107536315918,,,,,,,,,,,,,,,,
,3735618982.1685,300.001068115234,56628.494140625,-0.000165444515535166,8.52187657960335E-7,1,0.999253354069792,40.0298881530762,1.99676309598682,14.5600000396371,-0.00178118406939937,-0.000321732355045616,0.25,-8.79892491002697E-7,-0.000165439098194334,-9.88470055491252E-7,300.001892089844,300.001892089844,56605.7109375,56651.27734375,54.9391053596981,19.7246618213989,46.7388458251953,0,0,0,40,300.448699951172,1,6,1,2.14736938476562,43.49951171875,,,,,,,,,,,,,,,,
,3735618983.243,300.001571655273,56684.109375,-0.000165083111489315,9.52676162891175E-7,1,0.999253354069792,40.0298881530762,1.99677212414237,14.5600000396371,-0.00177871055986798,-0.000312981588725642,0.25,-1.3101268622616E-7,-0.000165078193553603,-2.39373240739629E-7,300.001617431641,300.001617431641,56656.2734375,56711.9453125,54.7233758883904,19.723793120112,46.746940612793,0,0,0,40,300.448364257812,1,6,1,2.16217041015625,43.49951171875,,,,,,,,,,,,,,,,
,3735618984.402,300.000946044922,56742.310546875,-0.000164978806840665,1.12569001910004E-6,1,0.999253354069792,40.0298881530762,1.99675696851295,14.5600000396371,-0.00177584578120668,-0.000322648721161461,0.25,-1.04658463324024E-6,-0.000164973294686168,-1.15484868155476E-6,300.000946044922,300.000946044922,56727.12890625,56757.4921875,54.891426020025,19.724637648455,46.7420845031738,0,0,0,40,300.449768066406,1,6,1,2.16171264648438,43.9882698059082,,,,,,,,,,,,,,,,
,3735618985.1965,300.000686645508,56782.845703125,-0.000165757221229271,9.39880791705405E-7,1,0.999253354069792,40.0298881530762,1.99676045960504,14.5600000396371,-0.00178563755975177,-0.000316121683190088,0.25,-3.04505539592683E-7,-0.000165752175011992,-4.13301298239141E-7,299.999847412109,299.999847412109,56762.55078125,56803.140625,54.7554226576789,19.7232953688564,46.741813659668,0,0,0,40,300.448394775391,1,6,1,2.16537475585938,43.9882698059082,,,,,,,,,,,,,,,,
,3735618986.179,300.000762939453,56830.90625,-0.000165638917920642,9.09678463513165E-7,1,0.999253354069792,40.0298881530762,1.99678449781902,14.5600000396371,-0.0017827982997586,-0.0003249508842144,0.25,-1.14421527400486E-6,-0.000165633323651586,-1.25290752260883E-6,300.001525878906,300.001525878906,56803.140625,56858.671875,54.9101851044866,19.7248340930112,46.7393836975098,0,0,0,40,300.447845458984,1,6,1,2.16567993164062,43.49951171875,,,,,,,,,,,,,,,,
