#File generated by ModelExp v0.6.7
#Read datafile: ../../rescale/Ac_CoFe_C_DisorderedWafer_300K_LangevinSAXSscaled.xye
#Started Fit at 2019-01-04 11:36:37.102916
#Finished Fit at 2019-01-04 11:36:37.110828
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 0
#    # data points      = 555
#    # variables        = 0
#    chi-square         = 70942.3631
#    reduced chi-square = 127.824078
#    Akaike info crit   = 2692.11348
#    Bayesian info crit = 2692.11348
#[[Variables]]
#    Ms:            300 (fixed)
#    mu:            22100 (fixed)
#    chi:          -1.2 (fixed)
#    sigMu:         0 (fixed)
#    orderHermite:  50 (fixed)
#    T:             300 (fixed)

#[[Data]] 0
#B / T	M / kAm-1	sM / kAm-1	Mmodel / kAm-1
-6.9826066406	-229.4187915136	16.8623344519	-290.7526151879226
-6.9761613281	-246.1169788475	15.8606756142	-290.7595473758139
-6.9713488281	-238.3152498613	10.9370258123	-290.76472244218735
-6.9669042969	-218.3687075933	16.8753899165	-290.7695010813648
-6.9613808594	-230.0146816715	16.6783652549	-290.77543874402335
-6.9564	-254.0433687618	11.3133333041	-290.7807921982385
-6.9506152344	-243.1472401301	20.2348794703	-290.78700857339146
-6.9456632812	-234.8165185853	11.5681138162	-290.79232903900623
-6.9408902344	-225.777698437	18.9773066617	-290.79745644459354
-6.9346566406	-219.7006751953	19.0737858343	-290.8041515863318
-6.9296390625	-260.9540375947	15.3793281574	-290.8095396499585
-6.9241679687	-236.8209875115	10.2159657499	-290.8154136701801
-6.9206671875	-249.9603614225	12.470331805	-290.8191716979107
-6.9139222656	-218.8117558002	16.270112878	-290.8264109896843
-6.907409375	-231.2102622017	17.0579862042	-290.8333996595099
-6.9029640625	-249.8215456036	16.6360455122	-290.83816881482227
-6.9029195313	-246.6909936855	17.6561421875	-290.83821658645536
-6.8914757812	-247.1319422358	15.2150269567	-290.85049064474345
-6.891446875	-227.5713300557	13.9463731515	-290.8505216421173
-6.8814550781	-226.6371814624	12.2326726682	-290.86123442255655
-6.8801871094	-233.7945271959	17.3160580815	-290.8625936194806
-6.8684710938	-242.2534749828	10.6615665957	-290.8751497467337
-6.8681855469	-258.8808543731	13.5882089827	-290.8754557051192
-6.857728125	-223.3111114089	10.6040938901	-290.88665853986834
-6.8576890625	-223.2181543956	17.3857528703	-290.8867003790765
-6.8477289063	-245.4799811468	11.1806879284	-290.89736666534225
-6.8472269531	-256.3484797138	16.6846173969	-290.8979041057389
-6.8369742187	-244.971045293	15.5185722908	-290.90887960484446
-6.8367386719	-262.5473260097	12.3378672085	-290.9091317096774
-6.8269921875	-219.0777770766	17.800877782	-290.9195614860227
-6.8262085937	-241.0194757049	18.0416667743	-290.9203998578332
-6.8165117188	-250.9062930439	13.2391336735	-290.93077266415935
-6.8159589844	-258.8516890489	15.4151919931	-290.93136381922596
-6.8062511719	-227.8316153715	11.7396471187	-290.9417445138229
-6.8049851562	-233.0070357138	14.4283850069	-290.94309801464533
-6.7935324219	-236.9521117553	16.5680390839	-290.95533935733
-6.7924945313	-264.4313792564	15.5679108012	-290.95644846434556
-6.7827957031	-233.9399411589	11.6191571382	-290.96681077506713
-6.7815261719	-241.4936093187	17.0667342189	-290.96816688282263
-6.7722652344	-239.8563370806	12.2007330188	-290.97805747833166
-6.7672746094	-225.5034266257	14.9927634524	-290.98338603220657
-6.7615515625	-256.8996097084	11.7369223839	-290.9894954026701
-6.7547992187	-250.0354171508	12.4721956381	-290.9967018984439
-6.7517847656	-234.4050095054	14.1823461761	-290.99991852006855
