#File generated by ModelExp v0.6.7
#Read datafile: ../../rescale/Ol_CoFe_C_Dispersion_300K_LangevinSAXSscaled.xye
#Started Fit at 2019-01-04 17:20:10.102076
#Finished Fit at 2019-01-04 17:20:10.132832
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 7
#    # data points      = 1119
#    # variables        = 2
#    chi-square         = 3057.38113
#    reduced chi-square = 2.73713619
#    Akaike info crit   = 1128.73295
#    Bayesian info crit = 1138.77333
#[[Variables]]
#    Ms:            57.4343499 +/- 0.40527070 (0.71%) (init = 57.2)
#    mu:            6280 (fixed)
#    chi:           37.7379304 +/- 0.40654120 (1.08%) (init = 37.2)
#    sigMu:         0 (fixed)
#    orderHermite:  50 (fixed)
#    T:             300 (fixed)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(Ms, chi) = -0.843

#[[Data]] 0
#B / T	M / kAm-1	sM / kAm-1	Mmodel / kAm-1
-1.7068668945	-119.8352970731	5.8519548443	-119.45493804642544
-1.6990771484	-127.5121660284	5.3748413577	-119.1499978162487
-1.6953676758	-122.2705731281	6.0760844416	-119.00475001786072
-1.6880710938	-116.716723831	5.8931714584	-118.71897820647771
-1.6843984375	-117.943266644	5.2864549035	-118.57510389438765
-1.6751458008	-111.8055582017	7.4702130384	-118.21253432914664
-1.6729076172	-116.3664856742	5.7977308623	-118.12480764129816
-1.6650797852	-115.7259134615	4.2483791497	-117.81792300863673
-1.662669043	-117.2868449063	4.9798677525	-117.72338979257015
-1.6546376953	-122.2407018391	5.3977398521	-117.40837917017213
-1.6516610352	-112.6774634274	6.3247758487	-117.29159726156152
-1.6431417969	-119.4300528737	6.437382253	-116.95727690107117
-1.6401736328	-118.5124410561	5.3047246463	-116.84076598732193
-1.6329187012	-120.7100271596	5.0013027233	-116.55591548473217
-1.6296877441	-119.9705614418	5.488225683	-116.42902665634765
-1.6203851563	-117.5740786699	5.0324054491	-116.06357726538054
-1.617448877	-118.2146843367	5.0820128593	-115.94819204122874
-1.6108451172	-120.2501666955	5.508673154	-115.68862706157765
-1.6074665527	-109.2971098574	5.4237445099	-115.55579754305779
-1.5993939941	-112.8989959047	6.2426700001	-115.23833073153244
-1.5969473633	-115.7320131179	5.5887803467	-115.14208729631756
-1.5901501953	-117.2916485899	6.3144132067	-114.8746430220111
-1.5877031738	-111.7507057967	5.3090123663	-114.7783385522875
-1.5789344238	-113.7101061136	5.3548619096	-114.43313667622162
-1.5769635254	-119.9777445599	6.7868825025	-114.35552588819756
-1.5694083008	-111.5979249876	5.8465698312	-114.05793814573136
-1.564723877	-114.614337391	5.1639235834	-113.87336600097095
-1.5581962891	-109.7632869512	5.7406827782	-113.61609276518223
-1.5549989258	-112.2101609958	6.1448930311	-113.49004089338538
-1.5459279785	-114.1312799484	5.901962187	-113.13230929290484
-1.5437243164	-110.5687100462	4.8153602644	-113.04537596553297
-1.5345065918	-112.1383205655	5.7020255175	-112.68162408308626
-1.5329781738	-116.1820348381	5.1644666879	-112.62129084031103
-1.5232722656	-108.4345371721	5.5997113828	-112.23803253739823
-1.5211965332	-101.0517371141	5.9442036904	-112.15603973485781
-1.5127607422	-117.2571178335	5.294049823	-111.82271708609619
-1.5112340332	-113.2921577752	5.2312159617	-111.76237450680159
-1.5024470703	-107.7713825242	4.9448193014	-111.4149654460584
-1.5017716797	-110.8042390514	6.052064121	-111.38825495639067
-1.491970166	-115.7166858674	4.0165885299	-111.00049803044854
-1.4892696777	-109.5158603326	4.941069781	-110.89362289457972
-1.4824847656	-106.7646279562	5.5645451694	-110.62502187434757
-1.4775183594	-115.7469681836	5.7859517031	-110.42833876715974
-1.4714945313	-110.5225935556	5.6000295529	-110.18969499802236
-1.4667772461	-113.5634893497	6.86045577	-110.0027471570666
-1.4624416504	-112.8159088961	4.6824288725	-109.83087502837242
-1.4567754883	-117.756348155	6.1071368153	-109.60618237397311
-1.4463145996	-112.510461543	5.6237108027	-109.19113035882991
-1.4382480469	-112.6061233238	5.4059427987	-108.87087589715709
-1.4340654297	-113.0983495352	4.8848977875	-108.70474945481
-1.4287967773	-104.071614563	5.8145725129	-108.49541852272458
-1.4220784668	-110.1895154588	5.2398835293	-108.22837775596398
-1.4189916992	-109.793541797	5.4766483174	-108.10564141452392
-1.4093195801	-110.8852355299	5.8028282315	-107.72088046851229
-1.4070526367	-109.7056419545	6.497880706	-107.63066122322763
-1.398331543	-107.4864475583	4.6329961052	-107.28344016241172
-1.3975423828	-107.077530051	6.5130944504	-107.25200944061366
-1.3883273438	-103.1016846311	5.0207686341	-106.8848535000125
-1.3863084961	-105.404343976	5.453969194	-106.80438186076572
-1.3775910645	-103.7248430733	5.5173970648	-106.45675925515621
-1.3750221191	-103.3437986478	6.2479923774	-106.35427303175682
-1.367601123	-104.8542396325	4.9344746074	-106.05810085419014
-1.3645986328	-101.2672728604	5.4239755611	-105.93822156393249
-1.3571033203	-106.327435878	5.2441968796	-105.63883215806234
-1.3550847656	-106.0372221181	5.4460439104	-105.55817265502476
-1.3468852051	-101.7864665192	5.965465676	-105.23038794346391
-1.3447537109	-99.5978177179	5.7946925866	-105.14514292326237
-1.3335863281	-105.1711120224	3.6249357575	-104.69827373550369
-1.333242627	-106.8181040277	5.179154164	-104.68451358123755
-1.3223235352	-104.4320103062	5.3632986805	-104.24715152118938
-1.3210403809	-111.1270657428	5.6227627107	-104.19572756951723
-1.3118387207	-103.0889240218	4.2348649319	-103.82678800565171
-1.310045752	-103.9246222037	5.8321116013	-103.75486365427167
-1.3015959473	-107.0876620748	4.77857843	-103.41574446883178
-1.3002429687	-104.9649124206	6.0068654932	-103.36142043613197
-1.2915905273	-110.2305315217	5.5517222269	-103.01385072545315
-1.2905394531	-104.9948586789	5.5900782294	-102.97160971474682
-1.2818314941	-107.6057027661	6.0284888856	-102.6214881474174
-1.2800204102	-103.793672917	4.9142817201	-102.54863301090347
-1.27084375	-104.2767351045	5.2909820358	-102.17928261830765
-1.2690329102	-105.7675305864	4.4706068872	-102.10635895704989
-1.2583391113	-105.0297718546	5.3761494946	-101.67544378146766
-1.2560507812	-103.7399702659	5.4252544517	-101.58317319347822
-1.2488466797	-105.6788866335	5.826440117	-101.29254619579012
