#File generated by ModelExp v0.7.2
#Read datafile: ../data_rescaling/IOS-11_Dispersion_300K_LangevinSAXSscaled.xye
#Started Fit at 2019-01-15 12:01:31.842602
#Finished Fit at 2019-01-15 12:01:31.852320
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 0
#    # data points      = 4644
#    # variables        = 0
#    chi-square         = 176013.915
#    reduced chi-square = 37.9013598
#    Akaike info crit   = 16880.8796
#    Bayesian info crit = 16880.8796
#[[Variables]]
#    Ms:     191.2 (fixed)
#    mu:     13680 (fixed)
#    chi:    3.8 (fixed)
#    sigMu:  0 (fixed)
#    T:      300 (fixed)

#[[Data]] 0
#B / T	M / kAm-1	sM / kAm-1	Mmodel / kAm-1
-8.3129050781	-233.4663269986	2.4234753165	-222.03813294125663
-8.30734375	-232.8366191479	1.8130211723	-222.01649720231157
-8.3001589844	-234.4626869896	2.2162226088	-221.98854465996305
-8.2961273437	-235.0120272737	2.0847249428	-221.9728589495231
-8.2899152344	-229.9957160491	2.5773176352	-221.9486890989764
-8.2816113281	-234.1170914318	2.4617885756	-221.91637923911932
-8.2779113281	-232.6470726764	2.6768837486	-221.90198233624878
-8.2710941406	-232.9017816764	2.4082967229	-221.87545549659575
-8.2651855469	-230.033124379	2.500735792	-221.85246332102204
-8.2606339844	-232.1101800397	2.4587165327	-221.83475124959492
-8.2539558594	-234.5640801385	2.8204549908	-221.80876298559065
-8.2514027344	-233.5235652014	2.5132775691	-221.7988271079528
-8.2424523437	-231.8627918133	2.7947810062	-221.76399414448233
-8.2399023437	-233.4795601395	1.9601035848	-221.75406977542534
-8.2322019531	-233.8202497324	2.3616249212	-221.72409967135664
-8.2271667969	-231.2606545324	3.1713604567	-221.7045020059407
-8.2209410156	-232.6567294768	3.0078551908	-221.68026944360778
-8.2152007812	-231.9321533894	2.5930614349	-221.65792600020583
-8.2054503906	-230.4159366491	3.3124895141	-221.6199716151853
-8.2049144531	-232.9038932392	2.4719545123	-221.61788536185358
-8.1939898437	-232.4836905883	2.9471548287	-221.5753575260116
-8.1924152344	-232.7857461288	2.8446259439	-221.5692275894466
-8.1817445313	-234.6369826459	2.4276529194	-221.5276851753894
-8.1802214844	-234.1894073034	2.1979584449	-221.5217555472796
-8.1707394531	-233.1608840431	2.3350487994	-221.48483827737277
-8.1707097656	-233.9270107953	2.5800470101	-221.48472268905414
-8.15945625	-235.2888793051	2.1602895119	-221.44090565685863
-8.1565042969	-231.0425030428	2.0754578821	-221.42941136070095
-8.1484453125	-228.8831770901	3.4934837831	-221.3980303172151
-8.1450097656	-233.9006045509	1.9871932547	-221.38465211581178
-8.1369488281	-236.4454321218	2.2545866081	-221.35326132750566
-8.1340179687	-226.4665226964	3.9844695338	-221.34184764343317
-8.1254925781	-230.8410771614	2.4657814432	-221.30864596972896
-8.1240398437	-232.6766317571	2.9524231318	-221.30298820547225
-8.1142519531	-232.7919864131	1.9632528491	-221.26486737605705
-8.1078035156	-234.3119442412	1.8861843173	-221.23975146858947
-8.1035242187	-233.1697016117	2.1886592563	-221.22308357173523
-8.0955335937	-231.6457580666	2.8180946298	-221.1919588705675
-8.0925089844	-233.0965077346	2.8649152029	-221.18017716502294
-8.0835621094	-233.1453761442	2.2550715298	-221.1453253032237
-8.0810363281	-231.8973913642	3.0439564758	-221.1354859747231
-8.0708105469	-228.9444224778	1.8807701924	-221.09564930323972
-8.0707980469	-232.9710375719	2.5351505082	-221.09560060535512
-8.0578070313	-234.7998685188	2.0935756778	-221.04498779801767
-8.0573320313	-233.6377421846	1.8930182068	-221.04313712874574
-8.046803125	-230.5894897106	3.0593489337	-221.0021135899891
-8.0446109375	-233.6769801838	2.3595990405	-220.99357188581521
-8.0335707031	-233.6019886891	2.5661536723	-220.9505526366066
-8.0315894531	-232.4015031035	2.4472723628	-220.9428322105967
-8.0202828125	-233.7785548709	2.149584724	-220.89877130320048
-8.0202425781	-233.6005216047	2.2222249096	-220.89861450803878
-8.0095480469	-232.3848871194	2.8836493276	-220.85693607583855
-8.0089898437	-231.9940930792	2.2286052475	-220.85476058550356
-7.9993109375	-231.6110470228	1.940768596	-220.81703769228676
-7.9975105469	-232.2604992123	2.4599539573	-220.81002053787034
-7.9893351563	-233.9523944359	2.490557048	-220.77815535732984
-7.9832628906	-233.1807278731	2.2712814184	-220.754486457842
-7.9775441406	-232.3243087913	2.4730073528	-220.73219468919342
-7.9710113281	-232.4054232344	2.8357431911	-220.70672870920498
-7.9645453125	-229.5557355648	3.2728209501	-220.68152207860038
-7.9598011719	-231.5685743591	1.8646220884	-220.66302721949756
-7.9520644531	-230.5828519821	2.9852067013	-220.63286470779613
-7.9483320312	-233.0997829503	2.2902950294	-220.6183128892075
-7.93983125	-229.9738519089	3.2014228363	-220.58516908683708
-7.93451875	-232.7432934682	2.7688056722	-220.56445519919882
-7.9298367187	-230.8173718103	2.2990755281	-220.5461989777344
-7.9212695313	-228.9002283188	4.1928052358	-220.5127922966146
-7.9193167969	-232.9612514059	2.3102692255	-220.5051775940515
-7.9088535156	-235.5505648231	1.7875390385	-220.46437431494945
-7.9043621094	-230.2419780793	3.2442441671	-220.44685849397533
-7.8965910156	-233.3813741725	3.4225590024	-220.41655117066358
-7.8911210937	-230.6604924159	2.8517852768	-220.39521751688525
-7.8845984375	-228.6825938464	2.4246515049	-220.36977702104772
-7.8786550781	-234.0287990321	1.9721533805	-220.3465950290237
-7.871084375	-234.7666449598	2.1101268298	-220.31706429900834
-7.8661316406	-232.6637620136	2.5776981011	-220.29774457805507
-7.8610871094	-232.8216599046	2.2467119283	-220.27806612760247
-7.8561496094	-230.6629588525	2.9810800424	-220.25880456692008
-7.8511144531	-233.8080114855	2.865423979	-220.2391613951747
-7.8454105469	-227.415926029	3.5381782806	-220.21690850349464
-7.8393820313	-232.8590770089	2.62235033	-220.19338828502583
-7.835425	-233.1974023697	2.8373871579	-220.1779494386542
-7.8268644531	-233.1956600557	2.5199051911	-220.1445480162398
-7.8251542969	-232.8495012769	2.8326054667	-220.13787512417628
-7.8133878906	-225.1542798955	3.8455469557	-220.09196148391408
-7.8094046875	-231.4533282699	2.8595632537	-220.07641782515202
-7.8019203125	-229.9452312195	3.1704480796	-220.04721041322125
-7.7971625	-233.9146504512	2.9710006235	-220.0286425144193
-7.79041875	-232.1968410622	1.8452320561	-220.00232324935394
-7.7872171875	-229.8840526314	3.4230771516	-219.9898278861398
-7.7756734375	-230.6210247783	2.5640060011	-219.94477158612486
-7.7752070312	-232.5148642697	2.20833798	-219.9429510858933
-7.7649234375	-235.2394630503	2.3271520675	-219.90281018233054
-7.7607128906	-233.3933517442	2.3215955857	-219.88637395166091
-7.7531992187	-230.5490352165	2.4072930367	-219.85704251253296
-7.7479738281	-233.184497518	2.4507478727	-219.8366430427021
-7.7416917969	-229.9980061855	2.4128089124	-219.81211756967735
-7.7349945312	-231.4986365645	2.0038388173	-219.78596982368205
-7.7262109375	-228.6037456345	3.6663043296	-219.75167471368584
-7.72370625	-229.2019384438	2.7986537935	-219.74189490206086
-7.7137007813	-231.9924874652	3.385862429	-219.7028258163737
-7.7129992188	-230.5912213198	2.430853807	-219.70008627191174
-7.7024523438	-228.3560787433	2.4935981024	-219.65889996745983
-7.700990625	-232.1723435196	2.4444807715	-219.65319161105666
-7.6909828125	-233.7713332184	2.2604861303	-219.61410717406144
-7.6899925781	-232.2442241184	2.205057398	-219.61023977069394
-7.6807554688	-233.8704532738	1.8323751726	-219.57416254181896
-7.6792941406	-231.3566082485	2.8936943008	-219.56845484067034
-7.6692421875	-233.1530911933	2.3272885887	-219.52919201249378
-7.6655316406	-230.4097639201	3.3784076606	-219.514697947363
-7.6574886719	-230.496473167	3.1441819319	-219.48327935081437
-7.6537621094	-233.5503266654	2.0245699658	-219.46872150911997
-7.6465207031	-232.2553405161	2.5691317816	-219.4404317999959
-7.6417898437	-231.189975071	2.820245868	-219.4219491523757
-7.6370132812	-229.1244457491	2.6386784007	-219.4032873154312
-7.6305640625	-231.6715729877	1.872668171	-219.37808946339277
-7.6252761719	-233.4286949108	2.6307433242	-219.35742818426044
-7.6195582031	-235.015461509	1.967765809	-219.33508558231128
-7.6120628906	-233.0442622125	2.6840413638	-219.30579672428811
-7.6050617188	-232.8120361475	2.397205116	-219.27843734572133
-7.6000578125	-232.4654559631	2.7512900473	-219.25888208586477
-7.5930574219	-231.0875668899	3.3908039935	-219.23152337248635
-7.58955	-234.0620359181	2.8644938986	-219.21781524774093
-7.5813046875	-231.1993730653	1.9695502589	-219.18558854911979
-7.5767953125	-230.1474244129	3.0289147829	-219.1679628909832
-7.5680796875	-231.7213462728	2.2222840893	-219.13389473518572
-7.5665347656	-232.3173803567	2.6893448916	-219.12785562408797
-7.5558058594	-229.6128578276	3.1035682387	-219.0859143508365
-7.5555683594	-232.2316558642	2.6649375618	-219.08498588189272
-7.5453585937	-231.8066229987	2.729921381	-219.04507086091326
-7.544303125	-235.3680706553	2.8749669501	-219.04094433946202
-7.5353558594	-232.2525341058	2.725879272	-219.00596229018603
-7.5290753906	-232.4860571388	2.6390839754	-218.98140549728376
-7.525584375	-228.0277388283	3.8297306485	-218.96775503868028
-7.5173308594	-233.2697879794	2.1329342869	-218.93548098286658
-7.5098675781	-227.1370407775	2.3660637853	-218.90629528875192
-7.5055792969	-230.7390469208	2.8471566086	-218.88952491670221
-7.4980921875	-232.6441259386	2.4528065209	-218.860243442764
-7.4940804688	-234.0025059514	2.0441945696	-218.84455325551025
-7.487365625	-230.5068120533	2.2730739388	-218.81828983785365
-7.4810757813	-232.4573537069	2.5856932396	-218.79368748450548
-7.4763535156	-229.4164969935	2.4667115532	-218.77521584508702
-7.4708300781	-231.5566756669	2.8359702936	-218.75360949242065
-7.4651167969	-231.1252722745	2.9336701458	-218.73125955597928
-7.4583496094	-235.0695187598	1.899348062	-218.7047855480505
-7.4504046875	-230.4552450112	2.6388037319	-218.67370235015514
-7.4466316406	-232.9711191408	2.116087724	-218.65894025886044
-7.4384179687	-233.4472457442	2.4435065733	-218.62680267972993
-7.4308816406	-234.3327171599	2.4032008037	-218.59731353905093
-7.4258941406	-232.8523417927	2.7270199557	-218.57779683992044
-7.4211320312	-231.3821795375	2.8498810289	-218.5591614141207
-7.4134121094	-231.2424063279	2.5777338592	-218.5289497937845
-7.4104175781	-231.948428271	2.6758266945	-218.51723031818483
-7.4013960937	-233.7082873177	2.3054955852	-218.48192193795046
-7.39840625	-230.3173634668	3.1139905263	-218.47021970389102
-7.3896886719	-231.3454196449	2.7223376826	-218.43609757014983
-7.3841328125	-229.982053124	2.7664831028	-218.41434973323362
-7.3799421875	-231.3649289032	2.1065257426	-218.3979453320335
-7.3709121094	-234.2309406406	2.5369878697	-218.36259480583982
-7.3659320312	-233.7347474445	1.9817491008	-218.34309794232533
-7.3596867187	-231.7381809806	3.0461332107	-218.31864662758377
-7.3496710937	-233.452589375	2.4807630197	-218.27943143466052
-7.3496546875	-235.4151887807	2.2109331921	-218.27936719521654
-7.3394375	-232.6089082353	2.2234522641	-218.23935954851248
