#Extracted data using VSM extraction tool v1.1 
#Loaded parameter file: extractVSM.dat
#Desired unit of B: T
#Desired unit of M: memu
#Reading column for B: Applied Field
#Reading column for M: Raw Signal Mx
#Estimate noise level: 5e-3 memu
#Loading data from file: dd147_stabledry_2-Hys-00.VHD
#Save data to file: dd147_stabledry_2.xye
#Extraction performed at: Fri Oct 14 13:35:57 2016
#Unit of B in data: Oe
#Changing unit by multiplying with factor: 0.0001
#Unit of M in data: memu
#Applied image correction factors to M by linear interpolation of following values
#14997.0	1.0
#15246.0	1.000145
#15496.0	1.000446
#15746.0	1.000592
#15995.0	1.000892
#16246.0	1.001261
#16495.0	1.001631
#16745.0	1.002
#16995.0	1.002448
#17245.0	1.002965
#17495.0	1.003491
#17745.0	1.004009
#17994.0	1.004605
#18244.0	1.005202
#18494.0	1.006025
#18744.0	1.006702
#18994.0	1.007597

#Substracted file: dd147_stabledry_2.xye
#Using Slope: -1.301
#BG Scalefactor: 1
#BG Sigma Slope: 0.0
#B / T	M_sub / memu	sM_sub / memu	M_extracted / memu	sM_extracted / memu	M_raw / memu	sM_raw / memu
-0.0174	-4.0067794	0.005	-3.984142	0.005	-3.984142	0.005
-0.0149	-3.6884459	0.005	-3.669061	0.005	-3.669061	0.005
-0.0124	-3.3168704	0.005	-3.300738	0.005	-3.300738	0.005
-0.0099	-2.8837099	0.005	-2.87083	0.005	-2.87083	0.005
-0.0074	-2.3622414	0.005	-2.352614	0.005	-2.352614	0.005
-0.0049	-1.7193919	0.005	-1.713017	0.005	-1.713017	0.005
-0.004	-1.455057	0.005	-1.449853	0.005	-1.449853	0.005
-0.003	-1.125762	0.005	-1.121859	0.005	-1.121859	0.005
-0.002	-0.7725534	0.005	-0.7699514	0.005	-0.7699514	0.005
-0.001	-0.3888071	0.005	-0.3875061	0.005	-0.3875061	0.005
0.0	0.01483365	0.005	0.01483365	0.005	0.01483365	0.005
0.0009	0.446441	0.005	0.4452701	0.005	0.4452701	0.005
0.0019	0.8280942	0.005	0.8256223	0.005	0.8256223	0.005
0.0029	1.1776359	0.005	1.173863	0.005	1.173863	0.005
0.0039	1.4955049	0.005	1.490431	0.005	1.490431	0.005
