#Extracted data using VSM extraction tool v1.1 
#Loaded parameter file: extractVSM.dat
#Desired unit of B: T
#Desired unit of M: memu
#Reading column for B: Applied Field
#Reading column for M: Raw Signal Mx
#Estimate noise level: 5e-3 memu
#Loading data from file: DD67-Hys-00.VHD
#Save data to file: DD67.xye
#Extraction performed at: Fri Nov 18 16:38:45 2016
#Unit of B in data: Oe
#Changing unit by multiplying with factor: 0.0001
#Unit of M in data: memu
#Applied image correction factors to M by linear interpolation of following values
#14999.0	1.0
#15247.0	1.000145
#15498.0	1.000209
#15748.0	1.000417
#15998.0	1.000699
#16248.0	1.001107
#16497.0	1.001462
#16747.0	1.001735
#16997.0	1.002153
#17247.0	1.002709
#17497.0	1.003192
#17747.0	1.003685
#17996.0	1.004307
#18246.0	1.004801
#18495.0	1.005497
#18746.0	1.006341
#18995.0	1.007251

#Substracted file: DD67.xye
#Using Slope: -1.4515
#Rescaled file: DD67_BGLinSub.xy
#Rescale Factor: 0.12335
#Sigma Scalefactor: 0.0
#B / T	M_scaled / kA\,m^{-1}	sM_scaled / kA\,m^{-1}	M_prescaling / memu	sM_prescaling / memu	M_raw / memu	sM_raw / memu
-0.0949	-12.9572302392	-0.0405350628293	-1.59827435	0.005	-1.460527	0.005
-0.0974	-13.2837948926	-0.0405350628293	-1.6385561	0.005	-1.49718	0.005
-0.0999	-13.611008107	-0.0405350628293	-1.67891785	0.005	-1.533913	0.005
-0.1497	-18.506554925	-0.0405350628293	-2.28278355	0.005	-2.065494	0.005
-0.1997	-22.6254929064	-0.0405350628293	-2.79085455	0.005	-2.50099	0.005
-0.2498	-26.0083802189	-0.0405350628293	-3.2081337	0.005	-2.845549	0.005
-0.2998	-28.8990571544	-0.0405350628293	-3.5646987	0.005	-3.129539	0.005
-0.3498	-31.3881451155	-0.0405350628293	-3.8717277	0.005	-3.363993	0.005
-0.3997	-33.9930972842	-0.0405350628293	-4.19304855	0.005	-3.612884	0.005
-0.4498	-36.201335225	-0.0405350628293	-4.4654347	0.005	-3.81255	0.005
-0.4998	-38.2700907985	-0.0405350628293	-4.7206157	0.005	-3.995156	0.005
-0.5498	-40.156203486	-0.0405350628293	-4.9532677	0.005	-4.155233	0.005
-0.5998	-41.8848050263	-0.0405350628293	-5.1664907	0.005	-4.295881	0.005
-0.6498	-43.5538605594	-0.0405350628293	-5.3723687	0.005	-4.429184	0.005
-0.6998	-45.1342172679	-0.0405350628293	-5.5673057	0.005	-4.551546	0.005
-0.7498	-46.6199570328	-0.0405350628293	-5.7505717	0.005	-4.662237	0.005
