#Loaded datafile ../../AH11_HYST_100OE_10K.DAT
#Rescaled data with factor 0.11252542287218859
#B/T	M/kAm-1	sM/kAm-1
-2.1300669921875	-524.8487977035857	0.00011602285176095395
-2.12407744140625	-524.5176962565254	0.0001371965359751088
-2.1176046875	-524.3192445574396	0.0001229184583921667
-2.111865234375	-523.7385173182448	0.00011675174604287195
-2.1063556640625	-523.196830195911	0.00012467246966508768
-2.100609765625	-522.9850066687683	0.00011201571502515133
-2.09112529296875	-522.7794899403981	0.0001340979058096688
-2.08836669921875	-522.4733645818386	0.00015219659346844377
-2.0831134765625	-522.0171414378128	0.000131503153709317
-2.0776283203125	-521.8052621985431	0.00012846171761993945
-2.071628515625	-521.2321381427279	0.00010397794649254631
-2.0658669921875	-520.815988309578	0.00013087523437598257
-2.06087626953125	-520.5559705713378	0.00011973377462637441
-2.05538798828125	-520.1395243538543	0.0001168176425163852
-2.0501396484375	-519.8527859428347	0.00010729503390928617
-2.0451427734375	-519.5855361090402	0.00011388158760068591
-2.03939775390625	-519.2519274983836	0.00011434826393174011
-2.033904296875	-519.0115874656422	0.00014206230481831104
-2.028154296875	-518.7420173402213	0.00011881508904013828
-2.02214228515625	-518.0232701842765	0.00012668509200134428
-2.01639833984375	-517.4887139861618	0.0001214896240035476
-2.010667578125	-517.2908366330639	0.00013365278682408706
-2.004937890625	-517.0358559013039	0.00010898434893189087
-1.998943359375	-516.6588320754405	0.00011538526316910964
-1.9936814453125	-516.2817452197363	0.00014438276889447373
-1.988193359375	-516.0489446826706	0.0001138044726782229
-1.98219267578125	-515.6334323156204	0.000138870808457799
-1.97667109375	-515.1697240796361	0.00012696975819512327
-1.97118935546875	-514.8143396136935	0.00014233213209141588
-1.96519775390625	-514.3933871375458	0.00010680370742339904
-1.95918486328125	-514.2902330703396	0.00011709338418192264
-1.9542029296875	-513.8200991890518	0.00011705019841326139
-1.94896884765625	-513.5299835236202	0.00011206196867618764
-1.94321630859375	-513.0596364266844	0.00010796492800407274
-1.93796533203125	-512.3413393709166	0.00011026036756224388
-1.92822470703125	-512.1634796364192	0.00010622422202623311
-1.92473515625	-511.75365214161275	0.0001240513326194438
-1.91872275390625	-511.545224223069	0.00012471051303982987
-1.912966796875	-511.19491647238215	0.00014019694220991405
-1.90698203125	-510.5407406784011	0.00012070302629691122
-1.90123583984375	-510.1590349604476	0.00010873074105608028
-1.8957490234375	-509.84295431559553	0.00012061576794674229
-1.8900134765625	-509.5405424586713	0.00010680725970455728
-1.885502734375	-509.02289357571846	0.00011183626911472048
-1.877009765625	-508.87799707991445	0.0001377767127227128
-1.8737568359375	-508.6016976240835	0.00015309890933673626
-1.86876318359375	-508.1078884426944	0.00011416454422509111
-1.86351767578125	-507.91383900379896	0.00013324844930498014
-1.8535001953125	-507.0626943704183	0.0001249426386174655
-1.85027265625	-506.92346616548406	9.242064820790407e-05
-1.8447892578125	-506.5121315673091	0.00011709843505618321
-1.83902705078125	-506.3339528672412	0.00012099352581637506
-1.8330193359375	-505.83087174476424	0.0001126171799318846
-1.8277830078125	-505.53220373973977	0.00011966597030384851
-1.82280546875	-505.2311363420681	0.0001097393009680329
-1.8168021484375	-504.557472495566	0.00011501261653297626
-1.811306640625	-504.17916995664535	0.00012954868420562163
-1.80630361328125	-503.7691809638554	0.00010883602959019096
-1.8005435546875	-503.55138636084604	0.00012942295569792569
-1.79505478515625	-503.1867366489994	0.00011449857974689014
-1.7898029296875	-502.78183151692514	0.00013135321196365115
-1.78404912109375	-502.4928770302174	9.316377132089759e-05
-1.7785515625	-502.3174915768403	0.0001202258247461732
-1.76880546875	-501.39825652125967	0.0001055654769088889
-1.76183017578125	-501.28732395614855	9.844420022267308e-05
-1.758567578125	-500.8012555632087	0.00012964680103825984
-1.7528259765625	-500.35684841070776	0.00010869129903902109
