#File generated by ModelExp v0.7.2
#Read datafile: ../data_rescaling/IOS-7_Dispersion_300K_LangevinSAXSscaled.xye
#Started Fit at 2019-01-15 12:41:09.566797
#Finished Fit at 2019-01-15 12:41:09.573967
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 0
#    # data points      = 4676
#    # variables        = 0
#    chi-square         = 10886.0815
#    reduced chi-square = 2.32807560
#    Akaike info crit   = 3951.41640
#    Bayesian info crit = 3951.41640
#[[Variables]]
#    Ms1:  206.4 (fixed)
#    mu1:  4140 (fixed)
#    Ms2:  38 (fixed)
#    mu2:  530 (fixed)
#    chi:  0.32 (fixed)
#    T:    300 (fixed)

#[[Data]] 0
#B / T	M / kAm-1	sM / kAm-1	Mmodel / kAm-1
-8.2122175781	-239.9020236563	1.6539494569	-240.41728203225665
-8.2098714844	-239.6825346286	1.9284920146	-240.4146421978405
-8.2014652344	-238.8372070997	2.3564243812	-240.40517457632873
-8.1988742187	-240.2458159712	1.6284151663	-240.40225361745505
-8.1909902344	-237.707629771	2.1436057627	-240.39335753688158
-8.1878878906	-241.858544066	1.7951292138	-240.3898535687556
-8.1794757812	-237.1490625774	1.6154785635	-240.38034285602066
-8.1719191406	-239.2622119877	1.6751170964	-240.37178736491134
-8.1672191406	-239.1306827026	1.5613904857	-240.3664603817997
-8.1636765625	-239.6334504111	2.0542421564	-240.36244231207192
-8.1545058594	-239.830110536	1.8967883704	-240.35202905829183
-8.151665625	-238.4176148419	2.0901885411	-240.34880058405898
-8.141234375	-239.1947898201	1.8418700644	-240.3369295690039
-8.1387199219	-238.2825258625	1.6700808077	-240.33406478877947
-8.1298054687	-239.9970897823	1.6752090414	-240.3238980583547
-8.1247253906	-240.5757349606	1.7462022197	-240.3180971659046
-8.1170457031	-240.3984924977	1.8579511053	-240.30931788243066
-8.1144835938	-236.1481961295	1.9016550862	-240.3063862622257
-8.1044585937	-238.6341164648	1.8002080483	-240.2949026099544
-8.1040660156	-239.4250983651	1.9041816806	-240.2944524945814
-8.0938164062	-239.5360927874	1.2535575232	-240.28268953634722
-8.0924808594	-239.7202890181	1.6060884072	-240.28115521442214
-8.0848382813	-240.5868883922	1.5683120873	-240.27236812457912
-8.0799984375	-240.9036827121	1.5341617901	-240.26679728767834
-8.0735792969	-240.7899774387	1.3599409707	-240.25940118330493
-8.0665085937	-239.2902397305	1.4942373099	-240.25124451125725
-8.0585632813	-240.9116038144	1.7573121673	-240.2420665601767
-8.0555132813	-241.1068238111	1.8742402836	-240.23853990533772
-8.046840625	-238.0913242434	2.2906590519	-240.22850131816864
-8.0445238281	-239.5226499732	1.6674719908	-240.2258169784985
-8.0350980469	-237.7766867742	2.4539619888	-240.21488431437007
-8.0302664062	-239.4155880542	2.2611381608	-240.20927304319122
-8.0222921875	-237.2403984321	1.8449749939	-240.2000013999585
-8.019459375	-239.7101835993	1.9072523927	-240.19670446507598
-8.0085496094	-242.7677924242	2.2933464487	-240.18399146775343
-8.0077128906	-239.0963026365	1.8507816443	-240.18301541355757
-7.997534375	-240.3848709545	1.5696223231	-240.17113004347914
-7.9959683594	-239.5489054275	2.2804181873	-240.1692994699506
-7.9855609375	-240.7840943488	1.9715571833	-240.1571206024379
-7.9817359375	-239.0497434373	1.9757020556	-240.15263875105035
-7.9743125	-237.7389699333	1.7826235372	-240.143931598762
-7.968234375	-237.8031068237	1.9045869284	-240.13679361606054
-7.9598105469	-241.3380136698	2.3108660322	-240.12688779199743
-7.9584929687	-240.3964801968	1.4583626779	-240.12533703314904
